instance_name,best_model,local_max_k
qspiflash_dualflexpress_divfive-p058,polynomial,-1
at,None,-1
qspiflash_dualflexpress_divfive-p135,polynomial,-1
oski15a10b05s,linear,10
qspiflash_dualflexpress_divthree-p158,polynomial,-1
bobtuintand,linear,10
neclaftp4002,linear,10
neclatcas1a001,linear,10
gen31,polynomial,-1
oski15a08b17s,polynomial,-1
gen39,linear,10
qspiflash_dualflexpress_divfive-p074,exponential,16
nusmvguidancep1,linear,10
oc8051gma6data,polynomial,-1
oski15a01b35s,linear,10
pdtpmsns2,exponential,13
6s344rb150,linear,10
oski15a01b53s,linear,10
qspiflash_qflexpress_divfive-p075,polynomial,-1
bobsynth09neg,polynomial,-1
circular_pointer_top_w128_d8_e0,polynomial,-1
6s149,polynomial,-1
oski15a10b15s,linear,10
oski15a01b41s,linear,10
oski15a01b09s,linear,10
pdtvsar8multip23,linear,10
oski15a01b61s,linear,10
qspiflash_dualflexpress_divthree-p106,polynomial,-1
intel037,linear,10
cal140,exponential,5
bob2,polynomial,-1
eijkbs1512,polynomial,-1
qspiflash_dualflexpress_divthree-p161,exponential,37
oc8051gmdaaddr,polynomial,-1
oski15a08b15s,polynomial,-1
pdtvsarmultip30,linear,10
intel039,linear,10
qspiflash_qflexpress_divfive-p113,exponential,10
intel031,polynomial,-1
oski15a14b01s,linear,10
rast-p18,linear,10
stack-p2,linear,10
oski15a10b09s,linear,10
bobuns2p10d100l,linear,10
oski2ub0i,exponential,16
cal123,exponential,5
gen10,linear,10
qspiflash_dualflexpress_divfive-p127,polynomial,-1
nusmvtcasp2,linear,10
qspiflash_dualflexpress_divthree-p136,polynomial,-1
zipversa_composecrc_prf-p17,linear,10
qspiflash_dualflexpress_divthree-p121,exponential,25
139443p5,linear,10
cal33,exponential,8
6s119,exponential,25
6s307rb09,linear,10
pdtviscoherence4,linear,10
pdtvisvsa16a27,linear,10
dme6p1neg,linear,10
intel066,polynomial,-1
oc8051gm0caddr,polynomial,-1
6s216rb0,linear,10
qspiflash_dualflexpress_divthree-p134,polynomial,-1
picorv32_mutBY_nomem-p4,exponential,12
vgasim_imgfifo-p064,linear,10
bobtuttt,polynomial,-1
oski15a14b16s,linear,10
cal142,exponential,5
zipcpu-pfcache-p27,linear,10
vgasim_imgfifo-p099,linear,10
6s350rb46,linear,10
beemszmsk1f1,polynomial,-1
krebs,None,-1
pdtvisgigamax3,exponential,10
mutexp0,linear,10
oski15a01b49s,linear,10
bobtuint08neg,polynomial,-1
pdtswvtms14x8p1,polynomial,-1
oski15a10b14s,exponential,12
bj08amba2g1,linear,10
6s405rb611,linear,10
oski15a08b14s,linear,10
dspfilters_fastfir_second-p10,polynomial,-1
dspfilters_fastfir_second-p16,polynomial,-1
prodcellp4,linear,10
oski2b3i,linear,10
6s276rb342,polynomial,-1
rast-p06,linear,10
oski15a01b30s,exponential,7
bobmiterbm1and,linear,10
cal149,exponential,5
oski15a01b19s,linear,10
oski15a01b75s,linear,10
qspiflash_dualflexpress_divfive-p143,linear,10
beemskbn3f1,polynomial,-1
eijks1423,exponential,9
arbitrated_top_n5_w32_d32_e0,polynomial,-1
zipcpu-zipmmu-p48,exponential,12
beembrptwo3b2,polynomial,-1
vcegar_QF_BV_ar,linear,10
oski3b3i,linear,10
arbitrated_top_n3_w16_d32_e0,exponential,20
dme6p1,linear,10
power2sum32,polynomial,-1
oski15a10b11s,linear,10
intel042,linear,10
qspiflash_dualflexpress_divthree-p068,exponential,30
pj2002,linear,10
ndista262144,linear,10
eijks420,polynomial,-1
bobsynth13,linear,10
oc8051gm36addr,polynomial,-1
oski15a01b03s,exponential,10
oski15a01b20s,linear,10
zipcpu-busdelay-p15,linear,10
oski15a01b21s,linear,10
beemfrogs4f1,exponential,9
oski15a01b13s,linear,10
oski15a14b03s,linear,10
intel024,polynomial,-1
arbitrated_top_n2_w8_d64_e0,exponential,28
shift_register_top_w16_d8_e0,exponential,15
miim,polynomial,-1
neclaftp4001,linear,10
6s351rb15,linear,10
qspiflash_dualflexpress_divthree-p164,linear,10
blocks,None,-1
gen14,polynomial,-1
counterp0,linear,10
6s122,polynomial,-1
vis_arrays_am2910_p1,polynomial,-1
beemlann2f1,exponential,24
6s41,exponential,44
oski15a01b33s,linear,10
qspiflash_dualflexpress_divthree-p054,polynomial,-1
viselevatorp2,linear,10
intel009,polynomial,-1
6s202b41,linear,10
6s290,linear,10
qspiflash_qflexpress_divfive-p122,polynomial,-1
kenflashp01,linear,10
power2bit128,linear,10
mentorbm1or,linear,10
qspiflash_dualflexpress_divfive-p164,polynomial,-1
intersymbol_analog_estimation_convergence,polynomial,-1
bob12s02,linear,10
picorv32_mutBY_nomem-p3,exponential,10
boblivear,exponential,19
intel059,polynomial,-1
vis4arbitp1,polynomial,-1
eijks344,polynomial,-1
zipcpu-zipmmu-p26,polynomial,-1
vis_arrays_buf_bug,exponential,17
6s204b19,linear,10
oc8051gmb8addr,polynomial,-1
oski15a14b31s,linear,10
prodcellp2neg,linear,10
qspiflash_dualflexpress_divthree-p094,polynomial,-1
eijks1196,linear,10
oski15a14b05s,linear,10
bc57sensorsp1neg,exponential,28
picorv32-check-p22,linear,10
picorv32_mutBY_nomem-p6,exponential,8
bjrb07amba1andenv,linear,10
oski15a14b29s,linear,10
pdtvisvsa16a16,linear,10
6s284rb1,polynomial,-1
arbitrated_top_n3_w16_d128_e0,exponential,24
eijks208o,polynomial,-1
intel020,exponential,11
bob9234spec5neg,polynomial,-1
zipcpu-zipmmu-p39,linear,10
cal87,polynomial,-1
6s339rb19,exponential,26
intel036,polynomial,-1
shift1add256,linear,10
pdtvishuffman1,linear,10
6s164,linear,10
nusmvsyncarb10p2,polynomial,-1
cal122,exponential,5
6s410rb043,exponential,7
cal118,polynomial,-1
cal34,exponential,9
picorv32_mutCY_nomem-p3,exponential,10
qspiflash_qflexpress_divfive-p063,polynomial,-1
irstdme5,exponential,16
oski15a08b05s,linear,10
gen43,exponential,11
pdtpmsam2901,exponential,8
6s206rb025,linear,10
rast-p11,linear,10
oski15a14b11s,None,33
zipcpu-zipmmu-p14,linear,10
6s428rb098,exponential,5
oski2b2i,linear,10
qspiflash_dualflexpress_divthree-p141,polynomial,-1
ridecore,polynomial,-1
intel056,linear,10
oski15a10b07s,linear,10
pdtpmsblackjack,polynomial,-1
vgasim_imgfifo-p066,polynomial,-1
oski15a14b19s,None,47
oski15a08b07s,exponential,7
qspiflash_dualflexpress_divfive-p154,polynomial,-1
vis_arrays_am2910_p2,linear,10
beemelev1f1,polynomial,-1
bobtuint18neg,polynomial,-1
dspfilters_fastfir_second-p09,polynomial,-1
pdtvsar8multip16,linear,10
6s134,polynomial,-1
beempgsol5b1,linear,10
beemndhm4b3,exponential,16
qspiflash_dualflexpress_divthree-p010,polynomial,-1
arbitrated_top_n4_w32_d32_e0,exponential,22
6s400rb07819,linear,10
rast-p21,polynomial,-1
oc8051gmc6data,polynomial,-1
oski15a01b31s,linear,10
shift_register_top_w16_d32_e0,exponential,11
oc8051gm58addr,polynomial,-1
qspiflash_dualflexpress_divthree-p151,polynomial,-1
picorv32_mutAY_nomem-p4,polynomial,-1
oski15a01b24s,linear,10
oski15a01b55s,linear,10
