name,K,index,category,compute_success,n_of_clauses
pj2003,10,4,linear,False,NA
pj2003,10,5,linear,False,NA
pj2003,10,6,linear,False,NA
pj2003,10,7,linear,False,NA
pj2003,10,8,linear,False,NA
pj2003,10,9,linear,False,NA
pj2007,5,0,linear,False,NA
pj2007,5,1,linear,False,NA
pj2007,5,2,linear,False,NA
pj2007,5,3,linear,False,NA
pj2007,5,4,linear,False,NA
pj2007,6,0,linear,False,NA
pj2007,6,1,linear,False,NA
pj2007,6,2,linear,False,NA
pj2007,6,3,linear,False,NA
pj2007,6,4,linear,False,NA
pj2007,6,5,linear,False,NA
pj2007,7,0,linear,False,NA
pj2007,7,1,linear,False,NA
pj2007,7,2,linear,False,NA
pj2007,7,3,linear,False,NA
pj2007,7,4,linear,False,NA
pj2007,7,5,linear,False,NA
pj2007,7,6,linear,False,NA
pj2007,8,0,linear,False,NA
pj2007,8,1,linear,False,NA
pj2007,8,2,linear,False,NA
pj2007,8,3,linear,False,NA
pj2007,8,4,linear,False,NA
pj2007,8,5,linear,False,NA
pj2007,8,6,linear,False,NA
pj2007,8,7,linear,False,NA
pj2007,9,0,linear,False,NA
pj2007,9,1,linear,False,NA
pj2007,9,2,linear,False,NA
pj2007,9,3,linear,False,NA
pj2007,9,4,linear,False,NA
pj2007,9,5,linear,False,NA
pj2007,9,6,linear,False,NA
pj2007,9,7,linear,False,NA
pj2007,9,8,linear,False,NA
pj2007,10,0,linear,True,20
pj2007,10,1,linear,False,NA
pj2007,10,2,linear,False,NA
pj2007,10,3,linear,False,NA
pj2007,10,4,linear,False,NA
pj2007,10,5,linear,False,NA
pj2007,10,6,linear,False,NA
pj2007,10,7,linear,False,NA
pj2007,10,8,linear,False,NA
pj2007,10,9,linear,False,NA
pj2010,5,0,linear,False,NA
pj2010,5,1,linear,False,NA
pj2010,5,2,linear,False,NA
pj2010,5,3,linear,False,NA
pj2010,5,4,linear,False,NA
pj2010,6,0,linear,False,NA
pj2010,6,1,linear,False,NA
pj2010,6,2,linear,False,NA
pj2010,6,3,linear,False,NA
pj2010,6,4,linear,False,NA
pj2010,6,5,linear,False,NA
pj2010,7,0,linear,False,NA
pj2010,7,1,linear,False,NA
pj2010,7,2,linear,False,NA
pj2010,7,3,linear,False,NA
pj2010,7,4,linear,False,NA
pj2010,7,5,linear,False,NA
pj2010,7,6,linear,False,NA
pj2010,8,0,linear,False,NA
pj2010,8,1,linear,False,NA
pj2010,8,2,linear,False,NA
pj2010,8,3,linear,False,NA
pj2010,8,4,linear,False,NA
pj2010,8,5,linear,False,NA
pj2010,8,6,linear,False,NA
pj2010,8,7,linear,False,NA
pj2010,9,0,linear,False,NA
pj2010,9,1,linear,False,NA
pj2010,9,2,linear,False,NA
pj2010,9,3,linear,False,NA
pj2010,9,4,linear,False,NA
pj2010,9,5,linear,False,NA
pj2010,9,6,linear,False,NA
pj2010,9,7,linear,False,NA
pj2010,9,8,linear,False,NA
pj2010,10,0,linear,True,19
pj2010,10,1,linear,False,NA
pj2010,10,2,linear,False,NA
pj2010,10,3,linear,False,NA
pj2010,10,4,linear,False,NA
pj2010,10,5,linear,False,NA
pj2010,10,6,linear,False,NA
pj2010,10,7,linear,False,NA
pj2010,10,8,linear,False,NA
pj2010,10,9,linear,False,NA
pj2016,5,0,linear,False,NA
pj2016,5,1,linear,False,NA
pj2016,5,2,linear,False,NA
pj2016,5,3,linear,False,NA
pj2016,5,4,linear,False,NA
pj2016,6,0,linear,False,NA
pj2016,6,1,linear,False,NA
pj2016,6,2,linear,False,NA
pj2016,6,3,linear,False,NA
pj2016,6,4,linear,False,NA
pj2016,6,5,linear,False,NA
pj2016,7,0,linear,False,NA
pj2016,7,1,linear,False,NA
pj2016,7,2,linear,False,NA
pj2016,7,3,linear,False,NA
pj2016,7,4,linear,False,NA
pj2016,7,5,linear,False,NA
pj2016,7,6,linear,False,NA
pj2016,8,0,linear,False,NA
pj2016,8,1,linear,False,NA
pj2016,8,2,linear,False,NA
pj2016,8,3,linear,False,NA
pj2016,8,4,linear,False,NA
pj2016,8,5,linear,False,NA
pj2016,8,6,linear,False,NA
pj2016,8,7,linear,False,NA
pj2016,9,0,linear,False,NA
pj2016,9,1,linear,False,NA
pj2016,9,2,linear,False,NA
pj2016,9,3,linear,False,NA
pj2016,9,4,linear,False,NA
pj2016,9,5,linear,False,NA
pj2016,9,6,linear,False,NA
pj2016,9,7,linear,False,NA
pj2016,9,8,linear,False,NA
pj2016,10,0,linear,True,50
pj2016,10,1,linear,False,NA
pj2016,10,2,linear,False,NA
pj2016,10,3,linear,False,NA
pj2016,10,4,linear,False,NA
pj2016,10,5,linear,False,NA
pj2016,10,6,linear,False,NA
pj2016,10,7,linear,False,NA
pj2016,10,8,linear,False,NA
pj2016,10,9,linear,False,NA
pj2018,5,0,linear,False,NA
pj2018,5,1,linear,False,NA
pj2018,5,2,linear,False,NA
pj2018,5,3,linear,False,NA
pj2018,5,4,linear,False,NA
pj2018,6,0,linear,False,NA
pj2018,6,1,linear,False,NA
pj2018,6,2,linear,False,NA
pj2018,6,3,linear,False,NA
pj2018,6,4,linear,False,NA
pj2018,6,5,linear,False,NA
pj2018,7,0,linear,False,NA
pj2018,7,1,linear,False,NA
pj2018,7,2,linear,False,NA
pj2018,7,3,linear,False,NA
pj2018,7,4,linear,False,NA
pj2018,7,5,linear,False,NA
pj2018,7,6,linear,False,NA
pj2018,8,0,linear,False,NA
pj2018,8,1,linear,False,NA
pj2018,8,2,linear,False,NA
pj2018,8,3,linear,False,NA
pj2018,8,4,linear,False,NA
pj2018,8,5,linear,False,NA
pj2018,8,6,linear,False,NA
pj2018,8,7,linear,False,NA
pj2018,9,0,linear,False,NA
pj2018,9,1,linear,False,NA
pj2018,9,2,linear,False,NA
pj2018,9,3,linear,False,NA
pj2018,9,4,linear,False,NA
pj2018,9,5,linear,False,NA
pj2018,9,6,linear,False,NA
pj2018,9,7,linear,False,NA
pj2018,9,8,linear,False,NA
pj2018,10,0,linear,True,42
pj2018,10,1,linear,False,NA
pj2018,10,2,linear,False,NA
pj2018,10,3,linear,False,NA
pj2018,10,4,linear,False,NA
pj2018,10,5,linear,False,NA
pj2018,10,6,linear,False,NA
pj2018,10,7,linear,False,NA
pj2018,10,8,linear,False,NA
pj2018,10,9,linear,False,NA
power2bit128,5,0,linear,True,19
power2bit128,5,1,linear,False,NA
power2bit128,5,2,linear,False,NA
power2bit128,5,3,linear,False,NA
power2bit128,5,4,linear,False,NA
power2bit128,6,0,linear,False,NA
power2bit128,6,1,linear,False,NA
power2bit128,6,2,linear,False,NA
power2bit128,6,3,linear,False,NA
power2bit128,6,4,linear,False,NA
power2bit128,6,5,linear,False,NA
power2bit128,7,0,linear,False,NA
power2bit128,7,1,linear,False,NA
power2bit128,7,2,linear,False,NA
power2bit128,7,3,linear,False,NA
power2bit128,7,4,linear,False,NA
power2bit128,7,5,linear,False,NA
power2bit128,7,6,linear,False,NA
power2bit128,8,0,linear,False,NA
power2bit128,8,1,linear,False,NA
power2bit128,8,2,linear,False,NA
power2bit128,8,3,linear,False,NA
power2bit128,8,4,linear,False,NA
power2bit128,8,5,linear,False,NA
power2bit128,8,6,linear,False,NA
power2bit128,8,7,linear,False,NA
power2bit128,9,0,linear,False,NA
power2bit128,9,1,linear,False,NA
power2bit128,9,2,linear,False,NA
power2bit128,9,3,linear,False,NA
power2bit128,9,4,linear,False,NA
power2bit128,9,5,linear,False,NA
power2bit128,9,6,linear,False,NA
power2bit128,9,7,linear,False,NA
power2bit128,9,8,linear,False,NA
power2bit128,10,0,linear,True,19
power2bit128,10,1,linear,True,13
power2bit128,10,2,linear,True,13
power2bit128,10,3,linear,False,NA
power2bit128,10,4,linear,True,13
power2bit128,10,5,linear,True,13
power2bit128,10,6,linear,True,13
power2bit128,10,7,linear,True,13
power2bit128,10,8,linear,True,13
power2bit128,10,9,linear,True,13
power2bit8,5,0,linear,True,15
power2bit8,5,1,linear,True,9
power2bit8,5,2,linear,False,NA
power2bit8,5,3,linear,False,NA
power2bit8,5,4,linear,False,NA
power2bit8,6,0,linear,False,NA
power2bit8,6,1,linear,False,NA
power2bit8,6,2,linear,False,NA
power2bit8,6,3,linear,False,NA
power2bit8,6,4,linear,False,NA
power2bit8,6,5,linear,False,NA
power2bit8,7,0,linear,False,NA
power2bit8,7,1,linear,False,NA
power2bit8,7,2,linear,False,NA
power2bit8,7,3,linear,False,NA
power2bit8,7,4,linear,False,NA
power2bit8,7,5,linear,False,NA
power2bit8,7,6,linear,False,NA
power2bit8,8,0,linear,False,NA
power2bit8,8,1,linear,False,NA
power2bit8,8,2,linear,False,NA
power2bit8,8,3,linear,False,NA
power2bit8,8,4,linear,False,NA
power2bit8,8,5,linear,False,NA
power2bit8,8,6,linear,False,NA
power2bit8,8,7,linear,False,NA
power2bit8,9,0,linear,False,NA
power2bit8,9,1,linear,False,NA
power2bit8,9,2,linear,False,NA
power2bit8,9,3,linear,False,NA
power2bit8,9,4,linear,False,NA
power2bit8,9,5,linear,False,NA
power2bit8,9,6,linear,False,NA
power2bit8,9,7,linear,False,NA
power2bit8,9,8,linear,False,NA
power2bit8,10,0,linear,True,15
power2bit8,10,1,linear,True,9
power2bit8,10,2,linear,False,NA
power2bit8,10,3,linear,True,10
power2bit8,10,4,linear,True,9
power2bit8,10,5,linear,True,9
power2bit8,10,6,linear,True,13
power2bit8,10,7,linear,True,11
power2bit8,10,8,linear,True,11
power2bit8,10,9,linear,True,11
prodcellp0neg,5,0,linear,False,NA
prodcellp0neg,5,1,linear,False,NA
prodcellp0neg,5,2,linear,False,NA
prodcellp0neg,5,3,linear,False,NA
prodcellp0neg,5,4,linear,False,NA
prodcellp0neg,6,0,linear,False,NA
prodcellp0neg,6,1,linear,False,NA
prodcellp0neg,6,2,linear,False,NA
prodcellp0neg,6,3,linear,False,NA
prodcellp0neg,6,4,linear,False,NA
prodcellp0neg,6,5,linear,False,NA
prodcellp0neg,7,0,linear,False,NA
prodcellp0neg,7,1,linear,False,NA
prodcellp0neg,7,2,linear,False,NA
prodcellp0neg,7,3,linear,False,NA
prodcellp0neg,7,4,linear,False,NA
prodcellp0neg,7,5,linear,False,NA
prodcellp0neg,7,6,linear,False,NA
prodcellp0neg,8,0,linear,False,NA
prodcellp0neg,8,1,linear,False,NA
prodcellp0neg,8,2,linear,False,NA
prodcellp0neg,8,3,linear,False,NA
prodcellp0neg,8,4,linear,False,NA
prodcellp0neg,8,5,linear,False,NA
prodcellp0neg,8,6,linear,False,NA
prodcellp0neg,8,7,linear,False,NA
prodcellp0neg,9,0,linear,False,NA
prodcellp0neg,9,1,linear,False,NA
prodcellp0neg,9,2,linear,False,NA
prodcellp0neg,9,3,linear,False,NA
prodcellp0neg,9,4,linear,False,NA
prodcellp0neg,9,5,linear,False,NA
prodcellp0neg,9,6,linear,False,NA
prodcellp0neg,9,7,linear,False,NA
prodcellp0neg,9,8,linear,False,NA
prodcellp0neg,10,0,linear,True,67
prodcellp0neg,10,1,linear,True,141
prodcellp0neg,10,2,linear,True,651
prodcellp0neg,10,3,linear,True,499
prodcellp0neg,10,4,linear,True,3032
prodcellp0neg,10,5,linear,False,NA
prodcellp0neg,10,6,linear,False,NA
prodcellp0neg,10,7,linear,False,NA
prodcellp0neg,10,8,linear,False,NA
prodcellp0neg,10,9,linear,False,NA
prodcellp1,5,0,linear,True,67
prodcellp1,5,1,linear,False,NA
prodcellp1,5,2,linear,False,NA
prodcellp1,5,3,linear,False,NA
prodcellp1,5,4,linear,False,NA
prodcellp1,6,0,linear,False,NA
prodcellp1,6,1,linear,False,NA
prodcellp1,6,2,linear,False,NA
prodcellp1,6,3,linear,False,NA
prodcellp1,6,4,linear,False,NA
prodcellp1,6,5,linear,False,NA
prodcellp1,7,0,linear,False,NA
prodcellp1,7,1,linear,False,NA
prodcellp1,7,2,linear,False,NA
prodcellp1,7,3,linear,False,NA
prodcellp1,7,4,linear,False,NA
prodcellp1,7,5,linear,False,NA
prodcellp1,7,6,linear,False,NA
prodcellp1,8,0,linear,False,NA
prodcellp1,8,1,linear,False,NA
prodcellp1,8,2,linear,False,NA
prodcellp1,8,3,linear,False,NA
prodcellp1,8,4,linear,False,NA
prodcellp1,8,5,linear,False,NA
prodcellp1,8,6,linear,False,NA
prodcellp1,8,7,linear,False,NA
prodcellp1,9,0,linear,False,NA
prodcellp1,9,1,linear,False,NA
prodcellp1,9,2,linear,False,NA
prodcellp1,9,3,linear,False,NA
prodcellp1,9,4,linear,False,NA
prodcellp1,9,5,linear,False,NA
prodcellp1,9,6,linear,False,NA
prodcellp1,9,7,linear,False,NA
prodcellp1,9,8,linear,False,NA
prodcellp1,10,0,linear,True,67
prodcellp1,10,1,linear,True,143
prodcellp1,10,2,linear,True,535
prodcellp1,10,3,linear,True,489
prodcellp1,10,4,linear,True,2408
prodcellp1,10,5,linear,False,NA
prodcellp1,10,6,linear,False,NA
prodcellp1,10,7,linear,False,NA
prodcellp1,10,8,linear,False,NA
prodcellp1,10,9,linear,False,NA
prodcellp2neg,5,0,linear,True,67
prodcellp2neg,5,1,linear,False,NA
prodcellp2neg,5,2,linear,False,NA
prodcellp2neg,5,3,linear,False,NA
prodcellp2neg,5,4,linear,False,NA
prodcellp2neg,6,0,linear,False,NA
prodcellp2neg,6,1,linear,False,NA
prodcellp2neg,6,2,linear,False,NA
prodcellp2neg,6,3,linear,False,NA
prodcellp2neg,6,4,linear,False,NA
prodcellp2neg,6,5,linear,False,NA
prodcellp2neg,7,0,linear,False,NA
prodcellp2neg,7,1,linear,False,NA
prodcellp2neg,7,2,linear,False,NA
prodcellp2neg,7,3,linear,False,NA
prodcellp2neg,7,4,linear,False,NA
prodcellp2neg,7,5,linear,False,NA
prodcellp2neg,7,6,linear,False,NA
prodcellp2neg,8,0,linear,False,NA
prodcellp2neg,8,1,linear,False,NA
prodcellp2neg,8,2,linear,False,NA
prodcellp2neg,8,3,linear,False,NA
prodcellp2neg,8,4,linear,False,NA
prodcellp2neg,8,5,linear,False,NA
prodcellp2neg,8,6,linear,False,NA
prodcellp2neg,8,7,linear,False,NA
prodcellp2neg,9,0,linear,False,NA
prodcellp2neg,9,1,linear,False,NA
prodcellp2neg,9,2,linear,False,NA
prodcellp2neg,9,3,linear,False,NA
prodcellp2neg,9,4,linear,False,NA
prodcellp2neg,9,5,linear,False,NA
prodcellp2neg,9,6,linear,False,NA
prodcellp2neg,9,7,linear,False,NA
prodcellp2neg,9,8,linear,False,NA
prodcellp2neg,10,0,linear,True,67
prodcellp2neg,10,1,linear,True,141
prodcellp2neg,10,2,linear,True,651
prodcellp2neg,10,3,linear,True,499
prodcellp2neg,10,4,linear,True,3032
prodcellp2neg,10,5,linear,False,NA
prodcellp2neg,10,6,linear,False,NA
prodcellp2neg,10,7,linear,False,NA
prodcellp2neg,10,8,linear,False,NA
prodcellp2neg,10,9,linear,False,NA
prodcellp4,5,0,linear,False,NA
prodcellp4,5,1,linear,False,NA
prodcellp4,5,2,linear,False,NA
prodcellp4,5,3,linear,False,NA
prodcellp4,5,4,linear,False,NA
prodcellp4,6,0,linear,False,NA
prodcellp4,6,1,linear,False,NA
prodcellp4,6,2,linear,False,NA
prodcellp4,6,3,linear,False,NA
prodcellp4,6,4,linear,False,NA
prodcellp4,6,5,linear,False,NA
prodcellp4,7,0,linear,False,NA
prodcellp4,7,1,linear,False,NA
prodcellp4,7,2,linear,False,NA
prodcellp4,7,3,linear,False,NA
prodcellp4,7,4,linear,False,NA
prodcellp4,7,5,linear,False,NA
prodcellp4,7,6,linear,False,NA
prodcellp4,8,0,linear,False,NA
prodcellp4,8,1,linear,False,NA
prodcellp4,8,2,linear,False,NA
prodcellp4,8,3,linear,False,NA
prodcellp4,8,4,linear,False,NA
prodcellp4,8,5,linear,False,NA
prodcellp4,8,6,linear,False,NA
prodcellp4,8,7,linear,False,NA
prodcellp4,9,0,linear,False,NA
prodcellp4,9,1,linear,False,NA
prodcellp4,9,2,linear,False,NA
prodcellp4,9,3,linear,False,NA
prodcellp4,9,4,linear,False,NA
prodcellp4,9,5,linear,False,NA
prodcellp4,9,6,linear,False,NA
prodcellp4,9,7,linear,False,NA
prodcellp4,9,8,linear,False,NA
prodcellp4,10,0,linear,True,80
prodcellp4,10,1,linear,True,283
prodcellp4,10,2,linear,False,NA
prodcellp4,10,3,linear,False,NA
prodcellp4,10,4,linear,False,NA
prodcellp4,10,5,linear,False,NA
prodcellp4,10,6,linear,False,NA
prodcellp4,10,7,linear,False,NA
prodcellp4,10,8,linear,False,NA
prodcellp4,10,9,linear,False,NA
productioncellp0,5,0,linear,False,NA
productioncellp0,5,1,linear,False,NA
productioncellp0,5,2,linear,False,NA
productioncellp0,5,3,linear,False,NA
productioncellp0,5,4,linear,False,NA
productioncellp0,6,0,linear,False,NA
productioncellp0,6,1,linear,False,NA
productioncellp0,6,2,linear,False,NA
productioncellp0,6,3,linear,False,NA
productioncellp0,6,4,linear,False,NA
productioncellp0,6,5,linear,False,NA
productioncellp0,7,0,linear,False,NA
productioncellp0,7,1,linear,False,NA
productioncellp0,7,2,linear,False,NA
productioncellp0,7,3,linear,False,NA
productioncellp0,7,4,linear,False,NA
productioncellp0,7,5,linear,False,NA
