instance_name,best_model,local_max_k
oc8051gma6data,linear,10.0
oc8051gmb8addr,nonlinear,10.0
oc8051gmc5addr,linear,10.0
oc8051gmc6data,nonlinear,10.0
oc8051gmcadata,linear,10.0
oc8051gmdaaddr,linear,10.0
oc8051gmfbaddr,nonlinear,10.0
oski15a01b01s,nonlinear,10.0
oski15a01b02s,nonlinear,10.0
oski15a01b03s,nonlinear,10.0
oski15a01b04s,nonlinear,10.0
oski15a01b05s,nonlinear,10.0
oski15a01b07s,nonlinear,10.0
oski15a01b09s,nonlinear,10.0
oski15a01b10s,linear,10.0
oski15a01b11s,nonlinear,10.0
oski15a01b15s,nonlinear,10.0
oski15a01b16s,nonlinear,10.0
oski15a01b17s,nonlinear,10.0
oski15a01b19s,nonlinear,10.0
oski15a01b20s,nonlinear,10.0
oski15a01b21s,nonlinear,10.0
oski15a01b22s,nonlinear,10.0
oski15a01b23s,nonlinear,10.0
oski15a01b24s,nonlinear,10.0
oski15a01b25s,nonlinear,10.0
oski15a01b27s,nonlinear,10.0
oski15a01b29s,nonlinear,10.0
oski15a01b31s,nonlinear,10.0
oski15a01b33s,nonlinear,10.0
oski15a01b35s,nonlinear,10.0
oski15a01b37s,nonlinear,10.0
oski15a01b39s,nonlinear,10.0
oski15a01b41s,nonlinear,10.0
oski15a01b42s,nonlinear,10.0
oski15a01b43s,nonlinear,10.0
oski15a01b44s,nonlinear,10.0
oski15a01b45s,nonlinear,10.0
oski15a01b47s,nonlinear,10.0
oski15a01b49s,nonlinear,10.0
oski15a01b55s,nonlinear,10.0
oski15a01b56s,nonlinear,10.0
oski15a01b57s,nonlinear,10.0
oski15a01b59s,nonlinear,10.0
oski15a01b61s,nonlinear,10.0
oski15a01b63s,nonlinear,10.0
oski15a01b65s,nonlinear,10.0
oski15a01b67s,nonlinear,10.0
oski15a01b69s,nonlinear,10.0
oski15a01b71s,nonlinear,10.0
oski15a01b73s,nonlinear,10.0
oski15a01b75s,nonlinear,10.0
oski15a01b77s,nonlinear,10.0
oski15a01b79s,nonlinear,10.0
oski15a07b1s,nonlinear,10.0
oski15a07b3s,nonlinear,10.0
oski15a07b5s,nonlinear,10.0
oski15a08b06s,nonlinear,10.0
oski15a08b07s,nonlinear,10.0
oski15a08b09s,nonlinear,10.0
oski15a10b00s,nonlinear,10.0
oski15a10b01s,nonlinear,10.0
oski15a10b03s,nonlinear,10.0
oski15a10b05s,nonlinear,10.0
oski15a10b07s,nonlinear,10.0
oski15a10b09s,nonlinear,10.0
oski15a10b11s,nonlinear,10.0
oski15a10b13s,nonlinear,10.0
oski15a10b14s,nonlinear,10.0
oski15a10b15s,nonlinear,10.0
oski15a10b17s,linear,10.0
oski15a14b01s,nonlinear,10.0
oski15a14b03s,nonlinear,10.0
oski15a14b05s,nonlinear,10.0
oski15a14b07s,nonlinear,10.0
oski15a14b08s,nonlinear,10.0
oski15a14b09s,nonlinear,10.0
oski15a14b11s,nonlinear,10.0
oski15a14b12s,nonlinear,10.0
oski15a14b13s,nonlinear,10.0
oski15a14b14s,nonlinear,10.0
oski15a14b15s,nonlinear,10.0
oski15a14b16s,nonlinear,10.0
oski15a14b17s,nonlinear,10.0
oski15a14b18s,linear,10.0
oski15a14b19s,nonlinear,10.0
oski15a14b21s,nonlinear,10.0
oski15a14b23s,nonlinear,10.0
oski15a14b25s,nonlinear,10.0
oski15a14b27s,nonlinear,10.0
oski15a14b29s,nonlinear,10.0
oski15a14b31s,nonlinear,10.0
oski15a14b32s,nonlinear,10.0
oski15a14b33s,nonlinear,10.0
oski1rub03i,nonlinear,10.0
oski2b1i,nonlinear,10.0
oski2b2i,nonlinear,10.0
oski2b3i,nonlinear,10.0
oski2b4i,nonlinear,10.0
oski2b5i,nonlinear,10.0
oski2ub0i,nonlinear,10.0
oski3b0i,nonlinear,10.0
oski3b3i,linear,10.0
paper_v3,linear,10.0
pcip1,linear,10.0
pdtpmsam2901,nonlinear,10.0
pdtpmsarbiter,linear,10.0
