instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
6s342rb131,4,linear,375662182,13,28897090.92,1,5,
6s342rb131,5,linear,450271700,19,23698510.53,1,6,
6s342rb131,6,linear,541114448,32,16909826.50,1,13,
6s342rb131,7,linear,626014861,47,13319465.13,1,15,
6s342rb131,8,linear,703925686,77,9141892.03,1,25,
6s342rb131,9,linear,781836510,121,6461458.76,1,39,
6s342rb131,10,linear,859747334,251,3425288.18,1,129,
6s344rb054,1,linear,30849609,48,642700.19,48,48,
6s344rb054,2,linear,46061016,147,313340.24,37,110,
6s344rb054,3,linear,64397529,286,225166.19,37,162,
6s344rb054,4,linear,80384878,635,126590.36,48,259,
6s344rb054,5,linear,96372226,690,139669.89,48,260,
6s344rb054,6,linear,116162060,1201,96721.12,48,367,
6s344rb054,7,linear,134575797,1254,107317.22,48,367,
6s344rb054,8,linear,151339088,2114,71588.97,48,514,
6s344rb054,9,linear,168102378,2167,77573.78,48,514,
6s344rb054,10,linear,184865668,2953,62602.66,48,610,
6s344rb150,1,linear,30814489,1,30814489.00,1,1,
6s344rb150,2,linear,46008336,3,15336112.00,1,2,
6s344rb150,3,linear,64323705,7,9189100.71,1,4,
6s344rb150,4,linear,80292598,14,5735185.57,1,7,
6s344rb150,5,linear,96261490,19,5066394.21,1,8,
6s344rb150,6,linear,116028472,34,3412602.12,1,12,
6s344rb150,7,linear,134420981,41,3278560.51,1,14,
6s344rb150,8,linear,151164920,64,2361951.88,1,18,
6s344rb150,9,linear,167908858,69,2433461.71,1,18,
6s344rb150,10,linear,184652796,119,1551704.17,1,30,
6s351rb15,1,linear,7057489,2,3528744.50,2,2,
6s351rb15,2,linear,10516702,4,2629175.50,2,2,
6s351rb15,3,linear,14769823,8,1846227.88,2,4,
6s351rb15,4,linear,18425582,14,1316113.00,2,6,
6s351rb15,5,linear,22081340,86,256759.77,2,72,
6s351rb15,6,linear,26704028,151,176847.87,2,101,
6s351rb15,7,linear,30972949,358,86516.62,2,203,
6s351rb15,8,linear,34825254,627,55542.67,2,272,
6s351rb15,9,linear,38677558,865,44713.94,2,319,
6s351rb15,10,linear,42529862,1292,32917.85,2,487,
6s355rb08740,1,linear,28597166,3,9532388.67,3,3,
6s355rb08740,2,linear,44808470,7,6401210.00,3,4,
6s355rb08740,3,linear,59538370,12,4961530.83,3,5,
6s355rb08740,4,linear,75371862,17,4433638.94,3,5,
6s355rb08740,5,linear,93382014,24,3890917.25,3,6,
6s355rb08740,6,linear,108837524,29,3753018.07,3,6,
6s355rb08740,7,linear,124293034,39,3187000.87,3,8,
6s355rb08740,8,linear,141722935,44,3220975.80,3,8,
6s355rb08740,9,linear,157396146,56,2810645.46,3,9,
6s355rb08740,10,linear,173069356,61,2837202.56,3,9,
6s355rb11080,1,linear,28595622,2,14297811.00,2,2,
6s355rb11080,2,linear,44806034,5,8961206.80,2,3,
6s355rb11080,3,linear,59535122,10,5953512.20,2,5,
6s355rb11080,4,linear,75367742,13,5797518.62,2,5,
6s355rb11080,5,linear,93376902,21,4446519.14,2,7,
6s355rb11080,6,linear,108831560,24,4534648.33,2,7,
6s355rb11080,7,linear,124286218,35,3551034.80,2,9,
6s355rb11080,8,linear,141715159,38,3729346.29,2,9,
6s355rb11080,9,linear,157387506,52,3026682.81,2,11,
6s355rb11080,10,linear,173059852,55,3146542.76,2,11,
6s357r,1,exponential,341329,5,68265.80,5,5,
6s357r,2,exponential,509238,13,39172.15,4,9,
6s357r,3,exponential,726923,28,25961.54,7,13,
6s357r,4,exponential,907178,48,18899.54,6,17,
6s357r,5,exponential,1087432,65,16729.72,2,34,
6s357r,6,exponential,1328370,40,33209.25,3,12,
6s357r,7,exponential,1547101,185,8362.71,4,77,
6s357r,8,exponential,1739702,198,8786.37,4,65,
6s357r,9,exponential,1932302,471,4102.55,5,313,
6s357r,10,exponential,2124902,565,3760.89,12,191,
6s357r,11,exponential,2317502,1709,1356.06,7,736,
6s362rb1,1,linear,2655038,1,2655038.00,1,1,
6s362rb1,2,linear,4025270,3,1341756.67,1,2,
6s362rb1,3,linear,5570518,5,1114103.60,1,2,
6s362rb1,4,linear,7068041,8,883505.12,2,2,
6s362rb1,5,linear,8468230,9,940914.44,1,2,
6s362rb1,6,linear,9868418,10,986841.80,1,4,
6s362rb1,7,linear,11715974,13,901228.77,1,2,
6s362rb1,8,linear,13171850,12,1097654.17,1,4,
6s362rb1,9,linear,14868269,17,874604.06,1,2,
6s362rb1,10,linear,16348014,14,1167715.29,1,4,
6s372rb26,1,linear,2311294,1,2311294.00,1,1,
6s372rb26,2,linear,3669970,2,1834985.00,1,1,
6s372rb26,3,linear,4880544,3,1626848.00,1,1,
6s372rb26,4,linear,6347478,4,1586869.50,1,1,
6s372rb26,5,linear,7741498,5,1548299.60,1,1,
6s372rb26,6,linear,9024998,6,1504166.33,1,1,
6s372rb26,7,linear,10308498,7,1472642.57,1,1,
6s372rb26,8,linear,12052546,8,1506568.25,1,1,
6s372rb26,9,linear,13387093,9,1487454.78,1,1,
6s372rb26,10,linear,14963433,324,46183.44,2,112,
6s374b029,1,linear,140601041,2,70300520.50,2,2,
6s374b029,2,linear,210322414,6,35053735.67,2,4,
6s374b029,3,linear,293007011,13,22539000.85,2,7,
6s374b029,4,linear,365956028,25,14638241.12,2,11,
6s374b029,5,linear,438905044,33,13300152.85,2,11,
6s374b029,6,linear,527680925,51,10346684.80,2,15,
6s374b029,7,linear,610676877,59,10350455.54,2,15,
6s374b029,8,linear,686853538,83,8275343.83,2,19,
6s374b029,9,linear,763030198,91,8384947.23,2,19,
6s380b129,1,linear,15463283,1,15463283.00,1,1,
6s380b129,2,linear,23952556,3,7984185.33,1,2,
6s380b129,3,linear,32364213,7,4623459.00,1,4,
6s380b129,4,linear,40399198,10,4039919.80,1,4,
6s380b129,5,linear,50156899,24,2089870.79,1,10,
6s380b129,6,linear,58478068,20,2923903.40,1,5,
6s380b129,7,linear,67794355,25,2711774.20,1,5,
6s380b129,8,linear,76239214,33,2310279.21,1,8,
6s380b129,9,linear,84684072,45,1881868.27,1,8,
6s380b129,10,linear,93128930,50,1862578.60,1,8,
6s380b511,1,linear,15469471,2,7734735.50,2,2,
6s380b511,2,linear,23962177,6,3993696.17,2,4,
6s380b511,3,linear,32377253,10,3237725.30,2,5,
6s380b511,4,linear,40415498,20,2020774.90,2,9,
6s380b511,5,linear,50177137,24,2090714.04,2,9,
6s380b511,6,linear,58501679,40,1462541.98,2,11,
6s380b511,7,linear,67821763,44,1541403.70,2,11,
6s380b511,8,linear,76270048,63,1210635.68,2,13,
6s380b511,9,linear,84718332,67,1264452.72,2,13,
6s380b511,10,linear,93166616,90,1035184.62,2,15,
6s384rb024,1,linear,22135765,1,22135765.00,1,1,
6s384rb024,2,linear,33433387,3,11144462.33,1,2,
6s384rb024,3,linear,45951431,6,7658571.83,1,3,
6s384rb024,4,linear,57286021,10,5728602.10,1,4,
6s384rb024,5,linear,69648303,13,5357561.77,1,4,
6s384rb024,6,linear,81151684,17,4773628.47,1,4,
6s384rb024,7,linear,92655064,20,4632753.20,1,4,
6s384rb024,8,linear,107678897,24,4486620.71,1,4,
6s384rb024,9,linear,119571777,27,4428584.33,1,4,
6s384rb024,10,linear,133336299,31,4301170.94,1,4,
6s385rb444,1,linear,54922784,1,54922784.00,1,1,
6s385rb444,2,linear,83394694,2,41697347.00,1,1,
6s385rb444,3,linear,114820176,3,38273392.00,1,1,
6s385rb444,4,linear,145440145,4,36360036.25,1,1,
6s385rb444,5,linear,174438926,5,34887785.20,1,1,
6s385rb444,6,linear,203437706,6,33906284.33,1,1,
6s385rb444,7,linear,239964820,7,34280688.57,1,1,
6s385rb444,10,linear,334221006,12,27851750.50,1,2,
