Benchmark,Min Time (s),Max Time (s),Avg Time (s),Count
6s164.60.21,18,18,18.0,1
139464p0.60.33,6711,6711,6711.0,1
6s317b14.60.17,9950,9950,9950.0,1
6s391rb379.60.33,1069,1069,1069.0,1
6s325rb072.60.14,1432,1432,1432.0,1
6s277rb292.60.43,1952,1952,1952.0,1
6s362rb1.60.24,520,520,520.0,1
6s317b14.60.27,9752,9752,9752.0,1
139443p0.60.18,273,273,273.0,1
6s326rb08.60.57,4459,4459,4459.0,1
139453p0.60.55,1328,1328,1328.0,1
139464p0.60.26,6528,6528,6528.0,1
6s209b0.60.6,3095,3095,3095.0,1
6s275rb318.60.32,2277,2277,2277.0,1
139452p0.60.29,266,266,266.0,1
6s325rb072.60.6,1117,1117,1117.0,1
139444p0.60.27,560,560,560.0,1
6s164.60.34,18,18,18.0,1
6s277rb292.60.12,1995,1995,1995.0,1
6s43.60.31,3841,3841,3841.0,1
6s326rb08.60.22,5156,5156,5156.0,1
6s372rb26.60.25,309,309,309.0,1
6s421rb083.60.58,3028,3028,3028.0,1
6s421rb083.60.13,3214,3214,3214.0,1
139464p0.60.56,6103,6103,6103.0,1
6s159.60.46,20,20,20.0,1
139443p0.60.53,285,285,285.0,1
6s4.60.18,63,63,63.0,1
6s194.60.3,1165,1165,1165.0,1
6s209b0.60.51,4425,4425,4425.0,1
6s391rb379.60.48,1234,1234,1234.0,1
6s372rb26.60.56,321,321,321.0,1
6s391rb379.60.1,1201,1201,1201.0,1
6s372rb26.60.30,313,313,313.0,1
6s362rb1.60.39,502,502,502.0,1
139454p0.60.50,1513,1513,1513.0,1
6s275rb318.60.55,2482,2482,2482.0,1
139452p0.60.6,272,272,272.0,1
139453p0.60.40,1023,1023,1023.0,1
6s275rb318.60.10,2068,2068,2068.0,1
6s325rb072.60.39,1071,1071,1071.0,1
6s362rb1.60.14,516,516,516.0,1
6s391rb379.60.49,1459,1459,1459.0,1
6s372rb26.60.59,329,329,329.0,1
139462p0.60.25,1380,1380,1380.0,1
6s391rb379.60.22,1040,1040,1040.0,1
6s372rb26.60.2,313,313,313.0,1
6s362rb1.60.3,500,500,500.0,1
139443p0.60.39,250,250,250.0,1
139454p0.60.46,1517,1517,1517.0,1
6s275rb318.60.5,2054,2054,2054.0,1
139452p0.60.54,251,251,251.0,1
139453p0.60.38,1015,1015,1015.0,1
6s275rb318.60.13,1628,1628,1628.0,1
6s325rb072.60.3,1117,1117,1117.0,1
6s362rb1.60.0,529,529,529.0,1
6s159.60.43,20,20,20.0,1
6s43.60.29,3756,3756,3756.0,1
6s326rb08.60.1,4014,4014,4014.0,1
6s317b14.60.34,10266,10266,10266.0,1
6s421rb083.60.10,3117,3117,3117.0,1
6s421rb083.60.57,2955,2955,2955.0,1
139464p0.60.59,4423,4423,4423.0,1
6s159.60.50,20,20,20.0,1
6s4.60.24,63,63,63.0,1
6s194.60.39,886,886,886.0,1
139462p0.60.8,991,991,991.0,1
6s209b0.60.45,3256,3256,3256.0,1
6s277rb292.60.49,1955,1955,1955.0,1
139462p0.60.45,1480,1480,1480.0,1
139462p0.60.23,1379,1379,1379.0,1
139452p0.60.20,255,255,255.0,1
6s275rb318.60.7,2071,2071,2071.0,1
139463p0.60.58,1187,1187,1187.0,1
6s209b0.60.38,2992,2992,2992.0,1
6s159.60.41,20,20,20.0,1
6s194.60.12,1268,1268,1268.0,1
6s317b14.60.32,8908,8908,8908.0,1
6s372rb26.60.19,313,313,313.0,1
139454p0.60.39,1476,1476,1476.0,1
139453p0.60.10,1438,1438,1438.0,1
6s159.60.52,20,20,20.0,1
139462p0.60.6,1361,1361,1361.0,1
6s4.60.26,63,63,63.0,1
6s194.60.11,1274,1274,1274.0,1
6s317b14.60.28,9851,9851,9851.0,1
6s372rb26.60.23,313,313,313.0,1
139454p0.60.3,1472,1472,1472.0,1
139453p0.60.13,1400,1400,1400.0,1
6s209b0.60.53,4424,4424,4424.0,1
6s277rb292.60.48,1942,1942,1942.0,1
139462p0.60.19,1387,1387,1387.0,1
139452p0.60.21,255,255,255.0,1
139464p0.60.9,4923,4923,4923.0,1
139454p0.60.52,1518,1518,1518.0,1
139463p0.60.57,1544,1544,1544.0,1
139452p0.60.8,293,293,293.0,1
6s4.60.29,63,63,63.0,1
6s159.60.37,20,20,20.0,1
6s209b0.60.40,4350,4350,4350.0,1
6s362rb1.60.16,517,517,517.0,1
