Benchmark,Min Time (s),Max Time (s),Avg Time (s),Count
6s275rb318.60.24,1975,1975,1975.0,1
139452p0.60.47,253,253,253.0,1
139463p0.60.52,1538,1538,1538.0,1
139453p0.60.27,915,915,915.0,1
139443p0.60.28,252,252,252.0,1
6s275rb318.60.49,1976,1976,1976.0,1
6s362rb1.60.32,509,509,509.0,1
6s372rb26.60.51,325,325,325.0,1
6s391rb379.60.5,1224,1224,1224.0,1
6s277rb292.60.7,2087,2087,2087.0,1
6s4.60.13,62,62,62.0,1
6s194.60.28,1153,1153,1153.0,1
6s159.60.58,20,20,20.0,1
6s164.60.41,19,19,19.0,1
139464p0.60.51,6306,6306,6306.0,1
6s209b0.60.47,1,4421,2211.0,2
6s421rb083.60.18,2845,2845,2845.0,1
6s164.60.55,1,19,10.0,2
6s43.60.36,4412,4412,4412.0,1
139443p0.60.45,1,250,125.5,2
6s277rb292.60.19,2279,2279,2279.0,1
139452p0.60.42,252,252,252.0,1
6s325rb072.60.47,1102,1102,1102.0,1
6s275rb318.60.39,1988,1988,1988.0,1
139453p0.60.22,1,1283,642.0,2
139463p0.60.29,1607,1607,1607.0,1
139453p0.60.49,1319,1319,1319.0,1
6s325rb072.60.20,1468,1468,1468.0,1
139443p0.60.13,1,276,138.5,2
6s326rb08.60.53,3848,3848,3848.0,1
6s372rb26.60.38,292,292,292.0,1
139442p0.60.34,78,78,78.0,1
6s391rb379.60.38,1450,1450,1450.0,1
139464p0.60.38,4377,4377,4377.0,1
6s194.60.4,1282,1282,1282.0,1
6s164.60.0,18,18,18.0,1
6s164.60.48,1,19,10.0,2
139444p0.60.17,517,517,517.0,1
6s43.60.54,3097,3097,3097.0,1
6s194.60.21,1340,1340,1340.0,1
6s326rb08.60.40,4837,4837,4837.0,1
139452p0.60.27,263,263,263.0,1
6s421rb083.60.31,2616,2616,2616.0,1
6s362rb1.60.7,514,514,514.0,1
6s43.60.21,3243,3243,3243.0,1
139464p0.60.40,3892,3892,3892.0,1
6s164.60.14,1,18,9.5,2
6s194.60.47,1,915,458.0,2
6s164.60.49,19,19,19.0,1
6s43.60.6,2838,2838,2838.0,1
139463p0.60.26,1595,1595,1595.0,1
6s194.60.20,1353,1353,1353.0,1
6s326rb08.60.38,3884,3884,3884.0,1
139442p0.60.12,79,79,79.0,1
139442p0.60.7,1,79,40.0,2
6s317b14.60.52,9718,9718,9718.0,1
6s43.60.20,2982,2982,2982.0,1
6s421rb083.60.29,3209,3209,3209.0,1
6s159.60.17,21,21,21.0,1
6s277rb292.60.23,2271,2271,2271.0,1
6s325rb072.60.4,1235,1235,1235.0,1
139452p0.60.36,255,255,255.0,1
6s275rb318.60.3,1678,1678,1678.0,1
139453p0.60.1,1056,1056,1056.0,1
139453p0.60.48,1320,1320,1320.0,1
139463p0.60.31,1589,1589,1589.0,1
6s325rb072.60.21,1467,1467,1467.0,1
139443p0.60.10,1,273,137.0,2
6s372rb26.60.40,319,319,319.0,1
139462p0.60.35,1453,1453,1453.0,1
139454p0.60.7,1054,1054,1054.0,1
6s391rb379.60.40,1042,1042,1042.0,1
139454p0.60.20,1432,1432,1432.0,1
6s277rb292.60.30,2267,2267,2267.0,1
139443p0.60.9,289,289,289.0,1
6s164.60.16,18,18,18.0,1
6s43.60.8,2802,2802,2802.0,1
6s317b14.60.50,9464,9464,9464.0,1
139442p0.60.5,1,79,40.0,2
139443p0.60.33,1,255,128.0,2
6s362rb1.60.55,512,512,512.0,1
6s277rb292.60.25,1892,1892,1892.0,1
6s159.60.15,19,19,19.0,1
139463p0.60.3,1,1482,741.5,2
139464p0.60.13,6072,6072,6072.0,1
6s209b0.60.1,3744,3744,3744.0,1
139444p0.60.47,447,447,447.0,1
6s326rb08.60.45,6241,6241,6241.0,1
6s391rb379.60.11,1113,1113,1113.0,1
139442p0.60.28,78,78,78.0,1
139462p0.60.33,1437,1437,1437.0,1
139454p0.60.5,1063,1063,1063.0,1
6s317b14.60.22,9434,9434,9434.0,1
139463p0.60.39,1459,1459,1459.0,1
139452p0.60.44,253,253,253.0,1
139464p0.60.10,5075,5075,5075.0,1
6s209b0.60.22,3646,3646,3646.0,1
139444p0.60.4,474,474,474.0,1
6s391rb379.60.12,1100,1100,1100.0,1
6s326rb08.60.51,5072,5072,5072.0,1
139442p0.60.32,80,80,80.0,1
139462p0.60.27,1235,1235,1235.0,1
139454p0.60.55,1472,1472,1472.0,1
6s317b14.60.1,8054,8054,8054.0,1
139454p0.60.21,1416,1416,1416.0,1
6s277rb292.60.2,2273,2273,2273.0,1
139444p0.60.15,529,529,529.0,1
139463p0.60.18,1499,1499,1499.0,1
6s317b14.60.46,10080,10080,10080.0,1
139443p0.60.27,1,269,135.0,2
6s317b14.60.19,1,9916,4958.5,2
6s362rb1.60.5,515,515,515.0,1
6s277rb292.60.50,2034,2034,2034.0,1
6s372rb26.60.8,300,300,300.0,1
6s391rb379.60.52,1044,1044,1044.0,1
6s362rb1.60.43,499,499,499.0,1
139453p0.60.5,1,1453,727.0,2
139452p0.60.19,265,265,265.0,1
139462p0.60.21,1378,1378,1378.0,1
6s391rb379.60.26,1109,1109,1109.0,1
139463p0.60.5,1156,1156,1156.0,1
6s159.60.3,1,20,10.5,2
6s209b0.60.36,3296,3296,3296.0,1
6s325rb072.60.43,1293,1293,1293.0,1
6s275rb318.60.17,1655,1655,1655.0,1
6s317b14.60.30,9411,9411,9411.0,1
6s194.60.14,1268,1268,1268.0,1
6s372rb26.60.20,297,297,297.0,1
139443p0.60.47,276,276,276.0,1
139452p0.60.9,289,289,289.0,1
139454p0.60.37,1466,1466,1466.0,1
139464p0.60.8,4827,4827,4827.0,1
139462p0.60.59,1382,1382,1382.0,1
6s317b14.60.2,9133,9133,9133.0,1
6s326rb08.60.26,3806,3806,3806.0,1
6s43.60.35,4561,4561,4561.0,1
6s194.60.0,1277,1277,1277.0,1
6s421rb083.60.17,3129,3129,3129.0,1
6s421rb083.60.7,2638,2638,2638.0,1
6s372rb26.60.21,322,322,322.0,1
139453p0.60.15,1421,1421,1421.0,1
139443p0.60.4,276,276,276.0,1
139454p0.60.41,1466,1466,1466.0,1
6s194.60.43,920,920,920.0,1
139462p0.60.56,1,1366,683.5,2
6s277rb292.60.46,1997,1997,1997.0,1
139452p0.60.23,254,254,254.0,1
139444p0.60.33,1,489,245.0,2
6s372rb26.60.34,296,296,296.0,1
139462p0.60.20,1,1392,696.5,2
139453p0.60.44,1433,1433,1433.0,1
139463p0.60.55,1571,1571,1571.0,1
139443p0.60.43,266,266,266.0,1
6s209b0.60.42,4313,4313,4313.0,1
6s159.60.39,21,21,21.0,1
6s4.60.27,63,63,63.0,1
6s43.60.33,4758,4758,4758.0,1
6s326rb08.60.24,4895,4895,4895.0,1
6s421rb083.60.15,2661,2661,2661.0,1
6s421rb083.60.5,2746,2746,2746.0,1
6s159.60.48,20,20,20.0,1
139453p0.60.17,1407,1407,1407.0,1
139464p0.60.54,6292,6292,6292.0,1
139454p0.60.43,1463,1463,1463.0,1
6s209b0.60.4,4417,4417,4417.0,1
6s4.60.1,63,63,63.0,1
6s194.60.41,911,911,911.0,1
6s391rb379.60.46,1197,1197,1197.0,1
6s372rb26.60.54,317,317,317.0,1
6s372rb26.60.32,295,295,295.0,1
139452p0.60.25,264,264,264.0,1
6s362rb1.60.37,515,515,515.0,1
6s391rb379.60.18,1059,1059,1059.0,1
139452p0.60.59,253,253,253.0,1
139453p0.60.42,1408,1408,1408.0,1
139454p0.60.49,1524,1524,1524.0,1
6s275rb318.60.57,2489,2489,2489.0,1
6s362rb1.60.12,531,531,531.0,1
6s209b0.60.44,4327,4327,4327.0,1
6s209b0.60.9,3749,3749,3749.0,1
6s325rb072.60.37,1491,1491,1491.0,1
6s391rb379.60.50,1209,1209,1209.0,1
6s372rb26.60.6,324,324,324.0,1
6s277rb292.60.52,2034,2034,2034.0,1
6s372rb26.60.28,315,315,315.0,1
6s362rb1.60.41,500,500,500.0,1
6s391rb379.60.24,1038,1038,1038.0,1
