instance_name,K,formula_size,proofdoor_size,largest_interpolant_size,ratio,y_mode,y_value
bj08aut82,9,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,1,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,2,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,3,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,4,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,5,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,6,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,7,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,8,0,0,0,nan,max_dependence,0.0
bjrb07amba1andenv,9,0,0,0,nan,max_dependence,0.0
bob9234spec4neg,1,0,0,0,nan,max_dependence,1.0
bob9234spec4neg,2,0,0,0,nan,max_dependence,8.0
bob9234spec4neg,3,0,0,0,nan,max_dependence,11.0
bob9234specand,1,0,0,0,nan,max_dependence,1.0
bob9234specand,2,0,0,0,nan,max_dependence,8.0
bob9234specand,3,0,0,0,nan,max_dependence,11.0
bobcount,1,0,0,0,nan,max_dependence,0.0
bobcount,2,0,0,0,nan,max_dependence,0.0
bobcount,3,0,0,0,nan,max_dependence,0.0
bobcount,4,0,0,0,nan,max_dependence,0.0
bobcount,5,0,0,0,nan,max_dependence,0.0
bobcount,6,0,0,0,nan,max_dependence,0.0
bobcount,7,0,0,0,nan,max_dependence,0.0
bobcount,8,0,0,0,nan,max_dependence,0.0
bobmiterbm1and,1,0,0,0,nan,max_dependence,1.0
bobsmdct,1,0,0,0,nan,max_dependence,2.0
bobsmdct,2,0,0,0,nan,max_dependence,5.0
bobsmdct,3,0,0,0,nan,max_dependence,6.0
bobtuint12neg,1,0,0,0,nan,max_dependence,6.0
bobtuint12neg,2,0,0,0,nan,max_dependence,37.0
bobtuint19neg,1,0,0,0,nan,max_dependence,6.0
bobtuint19neg,2,0,0,0,nan,max_dependence,37.0
bobtuint21neg,1,0,0,0,nan,max_dependence,6.0
bobtuint21neg,2,0,0,0,nan,max_dependence,37.0
bobtuintand,1,0,0,0,nan,max_dependence,6.0
bobtuintand,2,0,0,0,nan,max_dependence,37.0
bobtuintorneg,1,0,0,0,nan,max_dependence,6.0
bobtuintorneg,2,0,0,0,nan,max_dependence,37.0
cmuperiodic,1,0,0,0,nan,max_dependence,0.0
cmuperiodic,2,0,0,0,nan,max_dependence,0.0
cmuperiodic,3,0,0,0,nan,max_dependence,0.0
cmuperiodic,4,0,0,0,nan,max_dependence,0.0
cmuperiodic,5,0,0,0,nan,max_dependence,0.0
cmuperiodic,6,0,0,0,nan,max_dependence,0.0
cmuperiodic,7,0,0,0,nan,max_dependence,0.0
cmuperiodic,8,0,0,0,nan,max_dependence,0.0
cmuperiodic,9,0,0,0,nan,max_dependence,0.0
eijks298,1,0,0,0,nan,max_dependence,1.0
eijks298,2,0,0,0,nan,max_dependence,5.0
eijks298,3,0,0,0,nan,max_dependence,148.0
eijks298,4,0,0,0,nan,max_dependence,152.0
eijks298,5,0,0,0,nan,max_dependence,659.0
eijks298,6,0,0,0,nan,max_dependence,651.0
eijks713,1,0,0,0,nan,max_dependence,0.0
eijks713,2,0,0,0,nan,max_dependence,0.0
intel001,1,0,0,0,nan,max_dependence,1.0
intel001,2,0,0,0,nan,max_dependence,1.0
