instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
bc57sensorsp1,10,exponential,sub-exponential,56623,94,544,602.3723404255319,7,partial
oski15a10b13s,10,linear,sub-exponential,8710,2098,8710,4.151572926596759,2,partial
oski15a01b16s,10,linear,sub-exponential,58051,14547,58051,3.99058225063587,2,partial
pdtvisgigamax4,10,linear,sub-exponential,547,62,547,8.82258064516129,2,partial
139462p0,10,linear,exponential,109640,96,37736,1142.0833333333333,6,partial
intel056,10,linear,sub-exponential,713,145,713,4.917241379310345,2,partial
pdtvsar8multip16,10,linear,exponential,1475,116,1475,12.71551724137931,5,partial
oski15a01b05s,10,linear,sub-exponential,80035,14547,80035,5.501821681446346,2,partial
beemelev2f1,10,linear,constant,390942,345277,345277,1.1322561305850085,2,partial
bob9234specand,10,linear,sub-exponential,307,102,307,3.0098039215686274,5,partial
bobtuintorneg,10,linear,exponential,5014,208,936,24.10576923076923,4,partial
6s209b0,10,linear,constant,3547,2653,3547,1.3369770071617038,2,partial
zipversa_composecrc_prf-p15,10,linear,sub-exponential,21143,6001,6001,3.5232461256457257,3,partial
kenflashp01,10,linear,constant,43,37,42,1.162162162162162,10,complete
gen39,10,linear,sub-exponential,2175,546,2175,3.9835164835164836,2,partial
oski15a14b23s,10,linear,exponential,39655,2745,39655,14.446265938069217,2,partial
pdtpmss1269b,10,linear,sub-exponential,2292,296,2292,7.743243243243243,2,partial
oski15a14b05s,10,linear,exponential,33342,2745,33342,12.146448087431693,2,partial
oski15a14b16s,10,linear,exponential,32532,2746,32532,11.847050254916242,2,partial
oski2b3i,10,linear,exponential,102079,7,102079,14582.714285714286,2,partial
oski15a01b77s,10,linear,sub-exponential,82965,14547,82965,5.70323778098577,2,partial
oski15a14b01s,10,linear,exponential,27682,2745,27682,10.084517304189434,2,partial
oski15a14b21s,10,linear,exponential,39655,2745,39655,14.446265938069217,2,partial
pdtvisns2p3,10,linear,exponential,613920,145,260134,4233.931034482759,3,partial
dspfilters_fastfir_second-p04,10,linear,sub-exponential,3016,1198,3016,2.5175292153589317,2,partial
6s202b41,10,linear,exponential,1720572,71826,1720572,23.95472391613065,3,partial
oski15a01b20s,10,linear,sub-exponential,81766,14547,81766,5.62081528837561,2,partial
oski15a01b57s,10,linear,sub-exponential,63790,14547,63790,4.3850965834880045,2,partial
nusmvtcasp3,10,linear,sub-exponential,832,201,832,4.1393034825870645,2,partial
beemlup1b1,10,linear,exponential,5358,4,5358,1339.5,2,partial
zipcpu-busdelay-p15,10,linear,sub-exponential,1657,629,1657,2.6343402225755166,2,partial
pdtvisminmaxr1,10,linear,constant,920190,866798,866798,1.0615968195588823,2,partial
beemptrsn1b1,10,linear,exponential,1510,7,1510,215.71428571428572,2,partial
zipversa_composecrc_prf-p11,10,linear,sub-exponential,21143,8876,11527,2.3820414601171698,3,partial
oski15a14b18s,10,linear,exponential,31373,2746,31373,11.424981791697014,2,partial
6s273b37,10,linear,sub-exponential,47995,15081,21094,3.182481267820436,5,partial
oski2b1i,10,linear,exponential,114274,7,114274,16324.857142857143,2,partial
pj2002,10,linear,exponential,63670,57,63670,1117.017543859649,2,partial
oski15a01b67s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
