instance,K,tag,completeness,n_computed,max_spd,min_spd,last_spd,peak_ratio,growth_class
circular_pointer_top_w8_d16_e0,5,exponential,partial,4,13758,171,820,80.45614035087719,exponential
cal84,5,exponential,partial,1,2415,2415,2415,1.0,insufficient
shift_register_top_w128_d16_e0,5,exponential,partial,3,3640,2189,3640,1.6628597533120146,constant
oski15a14b14s,5,linear,partial,2,30149,2746,30149,10.979242534595775,exponential
6s317b14,5,exponential,partial,2,908,198,908,4.585858585858586,sub-exponential
6s54,5,exponential,complete,5,1659,1582,1582,1.0486725663716814,constant
cal112,5,exponential,partial,1,534,534,534,1.0,insufficient
picorv32_mutBY_nomem-p3,5,exponential,partial,1,33572,33572,33572,1.0,insufficient
bobtuint12neg,5,linear,partial,2,240,205,240,1.170731707317073,constant
qspiflash_dualflexpress_divthree-p012,5,exponential,partial,4,2882,231,2882,12.476190476190476,exponential
bob12s09,5,exponential,partial,1,5796,5796,5796,1.0,insufficient
6s41,5,exponential,complete,5,921,913,913,1.0087623220153341,constant
6s7,5,exponential,partial,3,1656,555,1040,2.983783783783784,sub-exponential
bobmiterbm1or,5,linear,partial,2,1,1,1,1.0,constant
qspiflash_qflexpress_divfive-p104,5,exponential,partial,4,2987,200,2987,14.935,exponential
pdtvsarmultip29,5,linear,partial,1,54,54,54,1.0,insufficient
6s355rb08740,5,linear,partial,2,15042,15040,15040,1.0001329787234043,constant
139454p0,5,linear,partial,1,112,112,112,1.0,insufficient
picorv32-check-p19,5,linear,partial,1,5377,5377,5377,1.0,insufficient
bobcohdoptdcd4,5,exponential,partial,3,14376794,88,14376794,163372.6590909091,exponential
bobtuint21neg,5,linear,partial,2,240,205,240,1.170731707317073,constant
qspiflash_dualflexpress_divfive-p007,5,exponential,partial,4,2835,233,2835,12.167381974248928,exponential
arbitrated_top_n2_w8_d128_e0,5,exponential,complete,5,62290,2132,2781,29.21669793621013,sub-exponential
picorv32_mutCX_nomem-p0,5,exponential,partial,1,72275,72275,72275,1.0,insufficient
bc57sensorsp1neg,5,exponential,complete,5,11619,94,11619,123.6063829787234,exponential
139464p0,5,linear,partial,2,180,133,180,1.3533834586466165,constant
oski15a10b14s,5,exponential,partial,2,8310,2099,8310,3.959028108623154,sub-exponential
picorv32_mutBY_nomem-p4,5,exponential,partial,1,26175,26175,26175,1.0,insufficient
cal142,5,exponential,partial,2,52278,2,52278,26139.0,exponential
zipcpu-zipmmu-p48,5,exponential,partial,1,1947,1947,1947,1.0,insufficient
bobsm5378d2,5,linear,partial,1,827,827,827,1.0,insufficient
qspiflash_dualflexpress_divfive-p054,5,linear,partial,1,233,233,233,1.0,insufficient
rast-p04,5,linear,partial,1,5922,5922,5922,1.0,insufficient
beemmsmie1f1,5,exponential,partial,1,1774,1774,1774,1.0,insufficient
139442p1,5,linear,partial,1,333,333,333,1.0,insufficient
6s269r,5,exponential,partial,2,1631,118,1631,13.822033898305085,exponential
cal122,5,exponential,partial,2,54606,2,54606,27303.0,exponential
oski15a01b57s,5,linear,partial,1,14547,14547,14547,1.0,insufficient
cal97,5,exponential,partial,2,55679,2,55679,27839.5,exponential
pdtvisblackjack0,5,linear,partial,2,103,103,103,1.0,constant
viselevatorp3,5,linear,partial,1,37,37,37,1.0,insufficient
cal99,5,exponential,partial,1,2157,2157,2157,1.0,insufficient
picorv32_mutBY_nomem-p6,5,exponential,partial,1,26445,26445,26445,1.0,insufficient
arbitrated_top_n4_w32_d32_e0,5,exponential,complete,5,11039,4234,5343,2.607227208313651,sub-exponential
cal102,5,exponential,partial,1,2717,2717,2717,1.0,insufficient
oski15a01b79s,5,linear,partial,2,80142,14548,80142,5.508798460269452,sub-exponential
oski15a14b31s,5,linear,partial,1,2745,2745,2745,1.0,insufficient
eijks386,5,exponential,partial,3,187,70,187,2.6714285714285713,sub-exponential
eijks444,5,exponential,partial,4,307,65,140,4.723076923076923,sub-exponential
qspiflash_qflexpress_divfive-p113,5,exponential,partial,4,2805,199,2805,14.095477386934673,exponential
cal21,5,exponential,partial,2,882,2,882,441.0,exponential
gen44,5,exponential,partial,2,2846,1547,2846,1.8396897220426631,constant
irstdme5,5,exponential,partial,4,18828,144,590,130.75,exponential
shift_register_top_w16_d8_e0,5,exponential,partial,3,3620812,155,3620812,23360.07741935484,exponential
cal143,5,exponential,partial,1,3057,3057,3057,1.0,insufficient
qspiflash_dualflexpress_divthree-p161,5,exponential,partial,4,2859,231,2859,12.376623376623376,exponential
shift_register_top_w32_d16_e0,5,exponential,partial,3,950,557,950,1.7055655296229804,constant
qspiflash_qflexpress_divfive-p107,5,exponential,partial,4,2841,199,2841,14.27638190954774,exponential
arbitrated_top_n2_w128_d32_e0,5,exponential,complete,5,10147,8378,8983,1.2111482454046312,constant
picorv32_mutAX_nomem-p2,5,exponential,partial,1,73172,73172,73172,1.0,insufficient
arbitrated_top_n2_w8_d32_e0,5,exponential,complete,5,2120,578,1131,3.667820069204152,sub-exponential
oc8051gm98addr,5,linear,partial,1,865,865,865,1.0,insufficient
cal34,5,exponential,partial,2,4305,2,4305,2152.5,exponential
pdtpmsusbphy,5,linear,partial,2,202,175,202,1.1542857142857144,constant
neclaftp5001,5,linear,partial,1,6,6,6,1.0,insufficient
