instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
6s309b046,2,exponential,482570,3,160856.67,1,2,
6s309b046,3,exponential,640217,5,128043.40,1,2,
6s309b046,4,exponential,797864,6,132977.33,1,2,
6s309b046,5,exponential,955511,15,63700.73,1,5,
6s309b046,6,exponential,1113158,38,29293.63,1,9,
6s309b046,7,exponential,1270805,42,30257.26,2,8,
6s309b046,8,exponential,1428452,65,21976.18,2,12,
6s309b046,9,exponential,1586099,142,11169.71,2,74,
6s309b046,10,exponential,1743746,181,9633.96,2,79,
6s309b046,11,exponential,1901393,305,6234.08,2,97,
6s309b046,12,exponential,2059040,245,8404.24,2,87,
6s309b046,13,exponential,2216687,273,8119.73,2,90,
6s309b046,14,exponential,2374334,524,4531.17,2,115,
6s309b046,15,exponential,2531981,594,4262.59,2,123,
6s309b046,16,exponential,2689628,1039,2588.67,2,125,
6s309b046,17,exponential,2847275,1533,1857.32,4,156,
6s309b046,18,exponential,3004922,1588,1892.27,4,156,
6s309b046,19,exponential,3162569,1345,2351.35,2,131,
6s326rb08,1,linear,121966,1,121966.00,1,1,
6s326rb08,2,linear,181278,3,60426.00,1,2,
6s326rb08,3,linear,240590,6,40098.33,1,3,
6s326rb08,4,linear,299902,21,14281.05,1,11,
6s326rb08,5,linear,359214,24,14967.25,1,11,
6s326rb08,6,linear,418526,60,6975.43,1,23,
6s326rb08,7,linear,477838,63,7584.73,1,23,
6s326rb08,8,linear,537150,120,4476.25,1,43,
6s326rb08,9,linear,596462,123,4849.28,1,43,
6s339rb19,1,exponential,58100,2,29050.00,2,2,
6s339rb19,2,exponential,86353,20,4317.65,9,11,
6s339rb19,3,exponential,114606,31,3696.97,9,12,
6s339rb19,4,exponential,142859,42,3401.40,9,12,
6s339rb19,5,exponential,171112,55,3111.13,9,13,
6s339rb19,6,exponential,199365,66,3020.68,9,13,
6s339rb19,7,exponential,227618,81,2810.10,9,14,
6s339rb19,8,exponential,255871,92,2781.21,9,14,
6s339rb19,9,exponential,284124,80,3551.55,2,16,
6s339rb19,10,exponential,312377,88,3549.74,2,16,
6s339rb19,11,exponential,340630,106,3213.49,2,17,
6s339rb19,12,exponential,368883,114,3235.82,2,17,
6s339rb19,13,exponential,397136,118,3365.56,2,17,
6s339rb19,14,exponential,425389,127,3349.52,2,17,
6s339rb19,15,exponential,453642,129,3516.60,2,17,
6s339rb19,16,exponential,481895,132,3650.72,2,17,
6s339rb19,17,exponential,510148,136,3751.09,2,17,
6s339rb19,18,exponential,538401,176,3059.10,2,23,
6s339rb19,19,exponential,566654,181,3130.69,3,17,
6s339rb19,20,exponential,594907,257,2314.81,1,128,
6s339rb19,21,exponential,623160,198,3147.27,2,17,
6s339rb19,22,exponential,651413,271,2403.74,1,128,
6s339rb19,23,exponential,679666,286,2376.45,2,46,
6s339rb19,24,exponential,707919,343,2063.90,1,128,
6s339rb19,25,exponential,736172,254,2898.31,3,36,
6s342rb131,1,linear,2037624,1,2037624.00,1,1,
6s342rb131,2,linear,3028017,4,757004.25,1,3,
6s342rb131,3,linear,4018410,8,502301.25,1,4,
6s342rb131,4,linear,5008803,13,385292.54,1,5,
6s342rb131,5,linear,5999196,19,315747.16,1,6,
6s342rb131,6,linear,6989589,32,218424.66,1,13,
6s342rb131,7,linear,7979982,47,169786.85,1,15,
6s342rb131,8,linear,8970375,77,116498.38,1,25,
6s342rb131,9,linear,9960768,121,82320.40,1,39,
6s344rb054,1,linear,479177,48,9982.85,48,48,
6s344rb054,2,linear,713431,147,4853.27,37,110,
6s344rb054,3,linear,947685,286,3313.58,37,162,
6s344rb054,4,linear,1181939,635,1861.32,48,259,
6s344rb054,5,linear,1416193,690,2052.45,48,260,
6s344rb054,6,linear,1650447,1201,1374.23,48,367,
6s344rb054,7,linear,1884701,1254,1502.95,48,367,
6s344rb054,8,linear,2118955,2114,1002.34,48,514,
6s344rb054,9,linear,2353209,2167,1085.93,48,514,
6s344rb150,1,linear,478641,1,478641.00,1,1,
6s344rb150,2,linear,712627,3,237542.33,1,2,
6s344rb150,3,linear,946613,7,135230.43,1,4,
6s344rb150,4,linear,1180599,14,84328.50,1,7,
6s344rb150,5,linear,1414585,19,74451.84,1,8,
6s344rb150,6,linear,1648571,34,48487.38,1,12,
6s344rb150,7,linear,1882557,41,45916.02,1,14,
6s344rb150,8,linear,2116543,64,33070.98,1,18,
6s344rb150,9,linear,2350529,69,34065.64,1,18,
6s351rb15,1,linear,121792,2,60896.00,2,2,
6s351rb15,2,linear,180757,4,45189.25,2,2,
6s351rb15,3,linear,239722,8,29965.25,2,4,
6s351rb15,4,linear,298687,14,21334.79,2,6,
6s351rb15,5,linear,357652,86,4158.74,2,72,
6s351rb15,6,linear,416617,151,2759.05,2,101,
6s351rb15,7,linear,475582,358,1328.44,2,203,
6s351rb15,8,linear,534547,627,852.55,2,272,
6s351rb15,9,linear,593512,865,686.14,2,319,
6s355rb08740,1,linear,450491,3,150163.67,3,3,
6s355rb08740,2,linear,668191,7,95455.86,3,4,
6s355rb08740,3,linear,885891,12,73824.25,3,5,
6s355rb08740,4,linear,1103591,17,64917.12,3,5,
6s355rb08740,5,linear,1321291,24,55053.79,3,6,
6s355rb08740,6,linear,1538991,29,53068.66,3,6,
6s355rb08740,7,linear,1756691,39,45043.36,3,8,
6s355rb08740,8,linear,1974391,44,44872.52,3,8,
6s355rb08740,9,linear,2192091,56,39144.48,3,9,
6s355rb11080,1,linear,450467,2,225233.50,2,2,
6s355rb11080,2,linear,668155,5,133631.00,2,3,
6s355rb11080,3,linear,885843,10,88584.30,2,5,
6s355rb11080,4,linear,1103531,13,84887.00,2,5,
6s355rb11080,5,linear,1321219,21,62915.19,2,7,
6s355rb11080,6,linear,1538907,24,64121.12,2,7,
6s355rb11080,7,linear,1756595,35,50188.43,2,9,
6s355rb11080,8,linear,1974283,38,51954.82,2,9,
6s355rb11080,9,linear,2191971,52,42153.29,2,11,
6s362rb1,1,linear,49599,1,49599.00,1,1,
6s362rb1,2,linear,73467,3,24489.00,1,2,
6s362rb1,3,linear,97335,5,19467.00,1,2,
6s362rb1,4,linear,121203,8,15150.38,2,2,
6s362rb1,5,linear,145071,9,16119.00,1,2,
6s362rb1,6,linear,168939,10,16893.90,1,4,
6s362rb1,7,linear,192807,13,14831.31,1,2,
6s362rb1,8,linear,216675,12,18056.25,1,4,
6s362rb1,9,linear,240543,17,14149.59,1,2,
6s372rb26,1,linear,44882,1,44882.00,1,1,
6s372rb26,2,linear,66761,2,33380.50,1,1,
6s372rb26,3,linear,88640,3,29546.67,1,1,
6s372rb26,4,linear,110519,4,27629.75,1,1,
6s372rb26,5,linear,132398,5,26479.60,1,1,
6s372rb26,6,linear,154277,6,25712.83,1,1,
6s372rb26,7,linear,176156,7,25165.14,1,1,
6s372rb26,8,linear,198035,8,24754.38,1,1,
6s372rb26,9,linear,219914,9,24434.89,1,1,
6s374b029,1,linear,1967172,2,983586.00,2,2,
6s374b029,2,linear,2937596,6,489599.33,2,4,
6s374b029,3,linear,3908020,13,300616.92,2,7,
6s374b029,4,linear,4878444,25,195137.76,2,11,
6s374b029,5,linear,5848868,33,177238.42,2,11,
6s374b029,6,linear,6819292,51,133711.61,2,15,
6s374b029,7,linear,7789716,59,132029.08,2,15,
6s374b029,8,linear,8760140,83,105543.86,2,19,
6s374b029,9,linear,9730564,91,106929.27,2,19,
6s380b129,1,linear,252984,1,252984.00,1,1,
6s380b129,2,linear,376673,3,125557.67,1,2,
6s380b129,3,linear,500362,7,71480.29,1,4,
6s380b129,4,linear,624051,10,62405.10,1,4,
6s380b129,5,linear,747740,24,31155.83,1,10,
6s380b129,6,linear,871429,20,43571.45,1,5,
6s380b129,7,linear,995118,25,39804.72,1,5,
6s380b129,8,linear,1118807,33,33903.24,1,8,
6s380b129,9,linear,1242496,45,27611.02,1,8,
6s380b511,1,linear,253090,2,126545.00,2,2,
6s380b511,2,linear,376832,6,62805.33,2,4,
6s380b511,3,linear,500574,10,50057.40,2,5,
6s380b511,4,linear,624316,20,31215.80,2,9,
6s380b511,5,linear,748058,24,31169.08,2,9,
6s380b511,6,linear,871800,40,21795.00,2,11,
6s380b511,7,linear,995542,44,22625.95,2,11,
6s380b511,8,linear,1119284,63,17766.41,2,13,
6s380b511,9,linear,1243026,67,18552.63,2,13,
6s384rb024,1,linear,352532,1,352532.00,1,1,
6s384rb024,2,linear,521322,3,173774.00,1,2,
6s384rb024,3,linear,690112,6,115018.67,1,3,
6s384rb024,4,linear,858902,10,85890.20,1,4,
6s384rb024,5,linear,1027692,13,79053.23,1,4,
6s384rb024,6,linear,1196482,17,70381.29,1,4,
6s384rb024,7,linear,1365272,20,68263.60,1,4,
6s384rb024,8,linear,1534062,24,63919.25,1,4,
6s384rb024,9,linear,1702852,27,63068.59,1,4,
6s385rb444,1,linear,815665,1,815665.00,1,1,
6s385rb444,2,linear,1218427,2,609213.50,1,1,
6s385rb444,3,linear,1621189,3,540396.33,1,1,
6s385rb444,4,linear,2023951,4,505987.75,1,1,
6s385rb444,5,linear,2426713,5,485342.60,1,1,
6s385rb444,6,linear,2829475,6,471579.17,1,1,
6s385rb444,7,linear,3232237,7,461748.14,1,1,
6s385rb444,8,linear,3634999,1,,NA,NA,
bc57sensorsp1neg,1,exponential,11464,1,11464.00,1,1,
bc57sensorsp1neg,2,exponential,17101,3,5700.33,1,2,
bc57sensorsp1neg,3,exponential,22738,6,3789.67,1,3,
bc57sensorsp1neg,4,exponential,28375,12,2364.58,1,6,
bc57sensorsp1neg,5,exponential,34012,18,1889.56,1,6,
bc57sensorsp1neg,6,exponential,39649,24,1652.04,1,6,
bc57sensorsp1neg,7,exponential,45286,31,1460.84,1,7,
bc57sensorsp1neg,8,exponential,50923,56,909.34,1,12,
bc57sensorsp1neg,9,exponential,56560,66,856.97,1,12,
bc57sensorsp1neg,10,exponential,62197,77,807.75,1,12,
bc57sensorsp1neg,11,exponential,67834,94,721.64,1,13,
bc57sensorsp1neg,12,exponential,73471,116,633.37,1,14,
bc57sensorsp1neg,13,exponential,79108,134,590.36,1,21,
bc57sensorsp1neg,14,exponential,84745,147,576.50,1,17,
bc57sensorsp1neg,15,exponential,90382,181,499.35,1,42,
bc57sensorsp1neg,16,exponential,96019,389,246.84,1,129,
bc57sensorsp1neg,17,exponential,101656,453,224.41,1,98,
bc57sensorsp1neg,18,exponential,107293,432,248.36,1,98,
bc57sensorsp1neg,19,exponential,112930,520,217.17,1,97,
bc57sensorsp1neg,20,exponential,118567,568,208.74,1,88,
bc57sensorsp1neg,21,exponential,124204,932,133.27,1,157,
bc57sensorsp1neg,22,exponential,129841,831,156.25,1,118,
bc57sensorsp1neg,23,exponential,135478,1078,125.68,1,157,
bc57sensorsp1neg,24,exponential,141115,1030,137.00,1,262,
bc57sensorsp1neg,25,exponential,146752,1570,93.47,1,278,
bc57sensorsp1neg,26,exponential,152389,1958,77.83,1,260,
bc57sensorsp1neg,27,exponential,158026,2670,59.19,1,332,
beemprdcell2f1,1,exponential,4922,1,4922.00,1,1,
beemprdcell2f1,2,exponential,7328,3,2442.67,1,2,
beemprdcell2f1,3,exponential,9734,4,2433.50,1,2,
beemprdcell2f1,4,exponential,12140,18,674.44,1,12,
beemprdcell2f1,5,exponential,14546,31,469.23,1,13,
beemprdcell2f1,6,exponential,16952,36,470.89,1,14,
beemprdcell2f1,7,exponential,19358,72,268.86,1,26,
beemprdcell2f1,8,exponential,21764,99,219.84,1,27,
beemprdcell2f1,9,exponential,24170,118,204.83,1,29,
beemprdcell2f1,10,exponential,26576,124,214.32,1,29,
beemprdcell2f1,11,exponential,28982,135,214.68,1,30,
beemprdcell2f1,12,exponential,31388,150,209.25,1,30,
beemprdcell2f1,13,exponential,33794,188,179.76,1,36,
beemprdcell2f1,14,exponential,36200,226,160.18,1,37,
beemprdcell2f1,15,exponential,38606,249,155.04,1,37,
beemprdcell2f1,16,exponential,41012,267,153.60,1,37,
beemprdcell2f1,17,exponential,43418,283,153.42,1,51,
beemprdcell2f1,18,exponential,45824,669,68.50,1,346,
beemprdcell2f1,19,exponential,48230,339,142.27,1,56,
beemprdcell2f1,20,exponential,50636,434,116.67,1,135,
beemprdcell2f1,21,exponential,53042,597,88.85,2,156,
beemprdcell2f1,22,exponential,55448,760,72.96,5,156,
beemprdcell2f1,23,exponential,57854,4992,11.59,1,2390,
beemprdcell2f1,24,exponential,60260,6564,9.18,3,2648,
beemprdcell2f1,25,exponential,62666,3877,16.16,4,2250,
beemprdcell2f1,26,exponential,65072,3914,16.63,4,2250,
cmudme2,1,exponential,2643,2,1321.50,2,2,
cmudme2,2,exponential,3933,6,655.50,3,3,
cmudme2,3,exponential,5223,14,373.07,2,8,
cmudme2,4,exponential,6513,25,260.52,2,10,
cmudme2,5,exponential,7803,33,236.45,2,13,
cmudme2,6,exponential,9093,63,144.33,3,19,
cmudme2,7,exponential,10383,98,105.95,2,40,
cmudme2,8,exponential,11673,194,60.17,3,115,
cmudme2,9,exponential,12963,454,28.55,3,132,
cmudme2,10,exponential,14253,1086,13.12,3,347,
cmudme2,11,exponential,15543,565,27.51,3,183,
cmudme2,12,exponential,16833,8418,2.00,3,2248,
cmudme2,13,exponential,18123,4105,4.41,3,1009,
cmudme2,14,exponential,19413,26267,0.74,3,14441,
cmudme2,15,exponential,20703,656,31.56,2,268,
cmudme2,16,exponential,21993,55003,0.40,3,11334,
cmudme2,17,exponential,23283,687,33.89,2,106,
cmudme2,18,exponential,24573,61097,0.40,3,11779,
cmudme2,19,exponential,25863,159781,0.16,3,29040,
eijks386,1,exponential,2137,208,10.27,208,208,
eijks386,2,exponential,3181,3135,1.01,789,2346,
eijks386,3,exponential,4225,4746,0.89,535,2713,
eijks386,4,exponential,5269,4769,1.10,307,2340,
eijks386,5,exponential,6313,4853,1.30,311,2923,
eijks386,6,exponential,7357,21204,0.35,1813,5262,
eijks386,7,exponential,8401,14008,0.60,606,4382,
eijks386,8,exponential,9445,27081,0.35,416,8851,
eijks386,9,exponential,10489,26795,0.39,300,10613,
eijks386,10,exponential,11533,49085,0.23,429,19468,
eijks386,11,exponential,12577,31100,0.40,276,9846,
eijks386,12,exponential,13621,70211,0.19,924,13395,
eijks386,13,exponential,14665,63139,0.23,218,16154,
eijks444,1,exponential,1881,12,156.75,12,12,
eijks444,2,exponential,2793,22,126.95,10,12,
eijks444,3,exponential,3705,33,112.27,10,12,
eijks444,4,exponential,4617,49,94.22,10,16,
eijks444,5,exponential,5529,63,87.76,10,17,
eijks444,6,exponential,6441,79,81.53,10,18,
eijks444,7,exponential,7353,122,60.27,9,40,
eijks444,8,exponential,8265,125,66.12,11,29,
eijks444,9,exponential,9177,140,65.55,12,23,
eijks444,10,exponential,10089,621,16.25,10,459,
eijks444,11,exponential,11001,544,20.22,6,283,
eijks444,12,exponential,11913,1236,9.64,8,916,
eijks444,13,exponential,12825,1447,8.86,7,629,
eijks444,14,exponential,13737,1785,7.70,13,604,
eijks444,15,exponential,14649,939,15.60,8,315,
eijks444,16,exponential,15561,826,18.84,9,145,
eijks444,17,exponential,16473,2121,7.77,10,763,
eijks444,18,exponential,17385,2193,7.93,9,634,
eijks444,19,exponential,18297,2273,8.05,11,427,
eijks444,20,exponential,19209,26835,,NA,NA,
eijks444,21,exponential,20121,11239,1.79,13,8685,
intel012,1,exponential,432538,1,432538.00,1,1,
intel012,2,exponential,645865,3,215288.33,1,2,
intel012,3,exponential,859192,9,95465.78,2,5,
intel012,4,exponential,1072519,6,178753.17,1,2,
intel012,5,exponential,1285846,18,71435.89,1,7,
intel012,6,exponential,1499173,9,166574.78,1,2,
intel012,7,exponential,1712500,30,57083.33,1,9,
intel012,8,exponential,1925827,12,160485.58,1,2,
intel012,9,exponential,2139154,54,39613.96,1,13,
intel012,10,exponential,2352481,15,156832.07,1,2,
intel012,11,exponential,2565808,59,43488.27,1,8,
intel012,12,exponential,2779135,18,154396.39,1,2,
intel020,1,exponential,31848,1,31848.00,1,1,
intel020,2,exponential,47595,3,15865.00,1,2,
intel020,3,exponential,63342,11,5758.36,2,5,
intel020,4,exponential,79089,6,13181.50,1,2,
intel020,5,exponential,94836,27,3512.44,2,9,
intel020,6,exponential,110583,9,12287.00,1,2,
intel020,7,exponential,126330,40,3158.25,1,11,
intel020,8,exponential,142077,12,11839.75,1,2,
intel020,9,exponential,157824,57,2768.84,1,13,
intel020,10,exponential,173571,15,11571.40,1,2,
intel040,1,exponential,616722,1,616722.00,1,1,
intel040,2,exponential,920328,3,306776.00,1,2,
intel040,3,exponential,1223934,5,244786.80,1,2,
intel040,4,exponential,1527540,10,152754.00,1,3,
intel040,5,exponential,1831146,14,130796.14,1,4,
intel040,6,exponential,2134752,14,152482.29,1,3,
intel040,7,exponential,2438358,16,152397.38,1,3,
intel040,8,exponential,2741964,21,130569.71,1,3,
intel040,9,exponential,3045570,28,108770.36,1,4,
intel040,10,exponential,3349176,25,133967.04,1,3,
intel040,11,exponential,3652782,27,135288.22,1,3,
intel040,12,exponential,3956388,32,123637.12,1,3,
