instance_name,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size
oski15a01b73s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b75s,linear,10140281,166,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b77s,linear,10140314,132,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a01b79s,linear,10139258,56,181058.18,1,20,success (10/10),not available,not available,,not available,not available,
oski15a08b01s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b03s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b05s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b09s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b11s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b13s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b14s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a08b16s,linear,0,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b01s,linear,1753169,2,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a10b03s,linear,1753466,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b05s,linear,1753466,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b07s,linear,1753202,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b09s,linear,1753202,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b11s,linear,1753202,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b13s,linear,1753169,2,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a10b15s,linear,1753202,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a10b17s,linear,1753202,19,92273.79,1,2,success (10/10),not available,not available,,not available,not available,
oski15a14b01s,linear,1415688,2,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a14b03s,linear,1415721,25544,55.42,76,6066,success (10/10),not available,not available,,not available,not available,
oski15a14b05s,linear,1415721,30940,45.76,72,13099,success (10/10),not available,not available,,not available,not available,
oski15a14b07s,linear,1415721,23,61553.09,1,6,success (10/10),not available,not available,,not available,not available,
oski15a14b09s,linear,1415754,22,64352.45,1,5,success (10/10),not available,not available,,not available,not available,
oski15a14b14s,linear,1418130,3,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a14b16s,linear,1415853,6,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a14b18s,linear,1418130,1,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
oski15a14b21s,linear,1415721,25544,55.42,76,6066,success (10/10),not available,not available,,not available,not available,
oski15a14b23s,linear,1415721,25544,55.42,76,6066,success (10/10),not available,not available,,not available,not available,
oski15a14b25s,linear,1415721,61315,,NA,NA,partial done (8/10),not available,not available,,not available,not available,
oski15a14b29s,linear,1415721,not started,,NA,NA,not started,not available,not available,,not available,not available,
oski15a14b31s,linear,1416810,194,,NA,NA,partial done (2/10),not available,not available,,not available,not available,
oski15a14b32s,linear,1420506,32,,NA,NA,partial done (3/10),not available,not available,,not available,not available,
oski1rub03i,linear,4409722,36,122492.28,1,5,success (10/10),not available,not available,,not available,not available,
oski2b1i,linear,5841251,36,162256.97,1,5,success (10/10),not available,not available,,not available,not available,
oski2b2i,linear,5841251,36,162256.97,1,5,success (10/10),not available,not available,,not available,not available,
oski2b3i,linear,5841251,36,162256.97,1,5,success (10/10),not available,not available,,not available,not available,
