instance_name,best_model,best_r2_score
zipversa_composecrc_prf-p07,linear,0.9927587689080091
oski15a01b73s,linear,0.9968655237117328
oc8051gmcadata,linear,0.9247371771712936
6s389b02,linear,0.996691949555798
oski15a08b13s,linear,-1.0
zipversa_composecrc_prf-p15,linear,0.9982629819733401
bj08amba3g1,linear,0.999335025867247
oc8051gm1edata,linear,0.9386544978325531
oski15a14b15s,None,
pdtvisvending00,polynomial,0.9891625379687056
cal176,exponential,0.9995225714960221
qspiflash_dualflexpress_divthree-p006,polynomial,0.9866998069245674
frogs,None,
arbitrated_top_n2_w128_d64_e0,exponential,0.9815540299463088
6s184,exponential,0.9998509364669862
qspiflash_dualflexpress_divfive-p126,polynomial,0.9937453504125114
eijks386,exponential,0.9910380057157615
bob9234spec4neg,linear,0.9922448300371506
kenflashp09,linear,0.9971054210215168
abp4p2ff,exponential,0.9837459613096143
cal86,polynomial,0.9745081911358832
6s273b37,linear,0.9226650847387418
oski15a01b07s,None,
cal161,polynomial,0.9822234219337619
bj08amba2g4f3,exponential,0.9965656412341055
pdtvisretherrtf1,linear,0.9940917251923713
6s320rb0,exponential,0.9999954890604509
qspiflash_dualflexpress_divfive-p112,polynomial,0.9931125673702397
oski15a10b17s,linear,0.9992819123326634
zipcpu-pfcache-p20,linear,0.9986151891397597
bobtuintorneg,linear,0.9969131150163304
oc8051gm15addr,polynomial,0.9259076810340134
qspiflash_dualflexpress_divthree-p111,polynomial,0.9847373547180943
nusmvtcasp3,linear,0.9507144208110617
texasifetch1p1,linear,0.9851887613657554
6s306rb03,linear,0.9671137012556925
beemcycschd3b1,linear,0.9627374892897045
oc8051gmc5addr,polynomial,0.9798147840161097
qspiflash_qflexpress_divfive-p067,polynomial,0.9793813185619678
oski3b0i,exponential,0.9933549011770519
eijks510,polynomial,0.9935728276856928
bjrb07amba10andenv,polynomial,0.9966752614037807
pj2007,linear,0.9707959988696677
kenflashp10,linear,0.9993606161258742
6s310r,polynomial,0.9935757014999984
kenflashp03,linear,0.9989927789458035
bobtuint26neg,polynomial,0.946499830720997
oski15a01b37s,linear,0.9989118570079287
oski15a01b16s,linear,0.9750465213771651
oski15a01b02s,exponential,0.9730486459487384
eijks713,linear,0.9408326236943708
zipcpu-busdelay-p47,exponential,0.9893566153570711
6s317b14,exponential,0.9308977179152228
beemprdcell2f1,exponential,0.9809404937986556
cmudme2,exponential,0.9795407422072497
oc8051gm7daddr,linear,0.9339680086851138
pdtswvtma6x4p1,polynomial,0.95165859403696
6s403rb1342,polynomial,0.9376938252648246
oski15a01b59s,linear,-1.0
qspiflash_dualflexpress_divfive-p058,polynomial,0.9954129702853775
at,None,
qspiflash_dualflexpress_divfive-p135,polynomial,0.9938096627201078
oski15a10b05s,linear,-1.0
qspiflash_dualflexpress_divthree-p158,polynomial,0.9855660193211876
bobtuintand,linear,0.9971970472601618
neclaftp4002,linear,0.9995853114252993
neclatcas1a001,linear,0.9982588818642245
gen31,polynomial,0.9738190160934249
oski15a08b17s,polynomial,0.9998406806917445
gen39,linear,0.9582290372240168
qspiflash_dualflexpress_divfive-p074,exponential,0.9764580984587523
nusmvguidancep1,linear,0.9718665448422118
oc8051gma6data,polynomial,0.9828889323433215
oski15a01b35s,linear,0.9978573562706432
pdtpmsns2,exponential,0.9732131320431489
6s344rb150,linear,0.999678306825294
oski15a01b53s,linear,-1.0
qspiflash_qflexpress_divfive-p075,polynomial,0.9928503154809997
bobsynth09neg,polynomial,0.9710417311905376
circular_pointer_top_w128_d8_e0,polynomial,0.9952012450382529
6s149,polynomial,0.9776148523010356
oski15a10b15s,linear,-1.0
oski15a01b41s,linear,0.9972194672711816
oski15a01b09s,linear,-1.0
pdtvsar8multip23,linear,0.997270918242139
oski15a01b61s,linear,0.9984575844712619
qspiflash_dualflexpress_divthree-p106,polynomial,0.9700615517129524
intel037,linear,0.9976221495178688
cal140,exponential,0.999546258944971
bob2,polynomial,0.9813483009664513
eijkbs1512,polynomial,0.9808955152918106
qspiflash_dualflexpress_divthree-p161,exponential,0.9969446167318153
oc8051gmdaaddr,polynomial,0.9856233024942246
oski15a08b15s,polynomial,0.9513478759835298
pdtvsarmultip30,linear,0.9985987499193215
intel039,linear,0.9981735948746722
qspiflash_qflexpress_divfive-p113,exponential,0.9873622006638543
intel031,polynomial,0.9948588581548334
oski15a14b01s,linear,0.9989204525298739
rast-p18,linear,0.9766462360181369
stack-p2,linear,0.9988449705116949
oski15a10b09s,linear,-1.0
bobuns2p10d100l,linear,0.9888283679530769
oski2ub0i,exponential,0.9963294554894789
cal123,exponential,0.9999496875116435
gen10,linear,0.9381786819613452
qspiflash_dualflexpress_divfive-p127,polynomial,0.9878939925411082
nusmvtcasp2,linear,0.9970965979046218
qspiflash_dualflexpress_divthree-p136,polynomial,0.9905571196089213
zipversa_composecrc_prf-p17,linear,0.9948857299318984
qspiflash_dualflexpress_divthree-p121,exponential,0.9887385761974463
139443p5,linear,-1.0
cal33,exponential,0.9695009166088868
6s119,exponential,0.9550070327899863
6s307rb09,linear,0.9990251337289999
pdtviscoherence4,linear,0.9623939790169619
pdtvisvsa16a27,linear,0.9799662983157758
dme6p1neg,linear,-1.0
intel066,polynomial,0.9965718154196141
oc8051gm0caddr,polynomial,0.9921966406618069
6s216rb0,linear,0.9978764200152568
qspiflash_dualflexpress_divthree-p134,polynomial,0.9899892602285398
picorv32_mutBY_nomem-p4,exponential,0.9979894125801689
vgasim_imgfifo-p064,linear,0.9703757297601708
bobtuttt,polynomial,0.9932825849278636
oski15a14b16s,linear,0.9941494511121336
cal142,exponential,0.9999839879261881
zipcpu-pfcache-p27,linear,0.995621584224286
vgasim_imgfifo-p099,linear,0.9478527409968563
6s350rb46,linear,0.9982856835769561
beemszmsk1f1,polynomial,0.9910211493390836
krebs,None,
pdtvisgigamax3,exponential,0.9718112007380937
mutexp0,linear,1.0
oski15a01b49s,linear,-1.0
bobtuint08neg,polynomial,0.9877525718481823
pdtswvtms14x8p1,polynomial,0.9945469407690641
oski15a10b14s,exponential,0.995720210213503
bj08amba2g1,linear,0.9903310664468178
6s405rb611,linear,0.9841142998975495
oski15a08b14s,linear,0.8930280070326937
dspfilters_fastfir_second-p10,polynomial,0.8634889936701544
dspfilters_fastfir_second-p16,polynomial,0.9178535716049624
prodcellp4,linear,0.9907524044016488
oski2b3i,linear,0.9904676756608684
6s276rb342,polynomial,0.9760652341162531
rast-p06,linear,0.9714788110408863
oski15a01b30s,exponential,0.9532192331265265
bobmiterbm1and,linear,0.9990370916195488
cal149,exponential,0.9999684607329853
oski15a01b19s,linear,-1.0
oski15a01b75s,linear,0.8942685447809806
qspiflash_dualflexpress_divfive-p143,linear,0.9966701248880353
beemskbn3f1,polynomial,0.9938923367611584
eijks1423,exponential,0.9859141083224235
arbitrated_top_n5_w32_d32_e0,polynomial,0.9790384227344512
zipcpu-zipmmu-p48,exponential,0.9655029007620101
beembrptwo3b2,polynomial,0.9709102687764751
vcegar_QF_BV_ar,linear,0.9977355640359352
oski3b3i,linear,0.9818504297411382
arbitrated_top_n3_w16_d32_e0,exponential,0.9812295046822823
dme6p1,linear,-1.0
power2sum32,polynomial,0.9847601662494252
oski15a10b11s,linear,-1.0
intel042,linear,0.9975606237378237
qspiflash_dualflexpress_divthree-p068,exponential,0.992714509982331
pj2002,linear,0.9919914420547973
ndista262144,linear,0.951323942681643
eijks420,polynomial,0.9373738426103049
bobsynth13,linear,0.9960049957819741
oc8051gm36addr,polynomial,0.9848136490519837
oski15a01b03s,exponential,0.9994887199824354
oski15a01b20s,linear,0.9981479689011492
zipcpu-busdelay-p15,linear,0.9795965941983712
oski15a01b21s,linear,0.9974679275870043
beemfrogs4f1,exponential,0.9717181806090449
oski15a01b13s,linear,-1.0
oski15a14b03s,linear,0.974788335689816
intel024,polynomial,0.9761096265602872
arbitrated_top_n2_w8_d64_e0,exponential,0.9958585935216305
shift_register_top_w16_d8_e0,exponential,0.9964907495192511
miim,polynomial,0.973518684062108
neclaftp4001,linear,0.9990568756029417
6s351rb15,linear,0.9542537550973306
qspiflash_dualflexpress_divthree-p164,linear,0.9386969858578473
blocks,None,
gen14,polynomial,0.9538061600201884
counterp0,linear,1.0
6s122,polynomial,0.9542799076819263
vis_arrays_am2910_p1,polynomial,0.9913799288043367
beemlann2f1,exponential,0.9793108639496031
6s41,exponential,0.9932976799943201
oski15a01b33s,linear,0.996716654389953
qspiflash_dualflexpress_divthree-p054,polynomial,0.9954981258640622
viselevatorp2,linear,-1.0
intel009,polynomial,0.9611837906971116
6s202b41,linear,0.9986716381678206
6s290,linear,0.966968241423513
qspiflash_qflexpress_divfive-p122,polynomial,0.9857694629620533
kenflashp01,linear,0.9528805014635677
power2bit128,linear,1.0
mentorbm1or,linear,0.9987925013449469
qspiflash_dualflexpress_divfive-p164,polynomial,0.9985409981148872
intersymbol_analog_estimation_convergence,polynomial,0.981860630783668
bob12s02,linear,0.9022950172712911
picorv32_mutBY_nomem-p3,exponential,0.9148709161214501
boblivear,exponential,0.9902687155392694
intel059,polynomial,0.9862939432450216
vis4arbitp1,polynomial,0.9736704169259611
eijks344,polynomial,0.9822105173526576
zipcpu-zipmmu-p26,polynomial,0.5274244557352326
vis_arrays_buf_bug,exponential,0.9973826572664648
6s204b19,linear,0.987342572709037
oc8051gmb8addr,polynomial,0.9796367344312186
oski15a14b31s,linear,0.9931718414683199
prodcellp2neg,linear,0.9934552302859383
qspiflash_dualflexpress_divthree-p094,polynomial,0.9850451559835423
eijks1196,linear,0.9855039993513006
oski15a14b05s,linear,0.9658014850060896
bc57sensorsp1neg,exponential,0.9924927727367042
picorv32-check-p22,linear,0.9639947274370204
picorv32_mutBY_nomem-p6,exponential,0.9586026610719471
bjrb07amba1andenv,linear,0.9934882257603591
oski15a14b29s,linear,1.0
pdtvisvsa16a16,linear,0.9994754066504605
6s284rb1,polynomial,0.9911125584416559
arbitrated_top_n3_w16_d128_e0,exponential,0.9635922181751375
eijks208o,polynomial,0.9775814327973403
intel020,exponential,0.9736487928069314
bob9234spec5neg,polynomial,0.9934864003648064
zipcpu-zipmmu-p39,linear,0.927084604026796
cal87,polynomial,0.9790653767222337
6s339rb19,exponential,0.9747990201145583
intel036,polynomial,0.9425553428713346
shift1add256,linear,1.0
pdtvishuffman1,linear,0.9936609777696422
6s164,linear,0.9723702063399113
nusmvsyncarb10p2,polynomial,0.9894210658579701
cal122,exponential,0.9999720586171184
6s410rb043,exponential,0.9389147624520817
cal118,polynomial,0.996976123593607
cal34,exponential,0.93456876665819
picorv32_mutCY_nomem-p3,exponential,0.8134214316570914
qspiflash_qflexpress_divfive-p063,polynomial,0.9869561766013876
irstdme5,exponential,0.9755009551588313
oski15a08b05s,linear,-1.0
gen43,exponential,0.9945878271809196
pdtpmsam2901,exponential,0.9854966429225925
6s206rb025,linear,0.9817205472776088
rast-p11,linear,0.9924447231612276
oski15a14b11s,None,
zipcpu-zipmmu-p14,linear,0.931180795625354
6s428rb098,exponential,0.9999991142919623
oski2b2i,linear,0.9969179199218697
qspiflash_dualflexpress_divthree-p141,polynomial,0.9894595620203177
ridecore,polynomial,0.7185257638820448
intel056,linear,0.944080958764532
oski15a10b07s,linear,-1.0
pdtpmsblackjack,polynomial,0.9838536022529804
vgasim_imgfifo-p066,polynomial,0.9518068994816967
oski15a14b19s,None,
oski15a08b07s,exponential,0.9561273128366236
qspiflash_dualflexpress_divfive-p154,polynomial,0.9940159035364449
vis_arrays_am2910_p2,linear,0.9590594206613805
beemelev1f1,polynomial,0.9576959217163183
bobtuint18neg,polynomial,0.9814117246946084
dspfilters_fastfir_second-p09,polynomial,0.8785873733563854
pdtvsar8multip16,linear,0.9989115962505655
6s134,polynomial,0.9653514417627931
beempgsol5b1,linear,-1.0
beemndhm4b3,exponential,0.9363353806065337
qspiflash_dualflexpress_divthree-p010,polynomial,0.989819275024051
arbitrated_top_n4_w32_d32_e0,exponential,0.9693263305663823
6s400rb07819,linear,0.995723101445589
rast-p21,polynomial,0.9767810412208744
oc8051gmc6data,polynomial,0.9875826208114291
oski15a01b31s,linear,0.9975213383044959
shift_register_top_w16_d32_e0,exponential,0.9899596987677737
oc8051gm58addr,polynomial,0.9924623449610004
qspiflash_dualflexpress_divthree-p151,polynomial,0.9795355770264698
picorv32_mutAY_nomem-p4,polynomial,0.7995960634334187
oski15a01b24s,linear,0.9972100899638168
oski15a01b55s,linear,0.9978006154884735
shift_register_top_w16_d16_e0,exponential,0.98918832863618
qspiflash_qflexpress_divfive-p038,linear,0.9533634051139969
oski15a14b18s,linear,0.9975322077992661
arbitrated_top_n2_w128_d32_e0,exponential,0.9869303407898647
qspiflash_qflexpress_divfive-p104,exponential,0.975107514109768
qspiflash_dualflexpress_divfive-p016,polynomial,0.9891034331681758
neclaftp2002,linear,0.9560663532952504
